¾úÖê: AF32-8AC
Ä¿±ê»ùÒòID | Æ¥ÅäµÄ¾úÖê»ùÒòID
GBNPKNOO_01667  | HLNIKFCA_01159
GBNPKNOO_01668  | HLNIKFCA_01158
GBNPKNOO_01669  | HLNIKFCA_01157
GBNPKNOO_01670  | HLNIKFCA_01156
GBNPKNOO_01671  | HLNIKFCA_01155
GBNPKNOO_01672  | HLNIKFCA_01154
GBNPKNOO_01673  | HLNIKFCA_01153
GBNPKNOO_01674  | HLNIKFCA_01152
GBNPKNOO_01675  | HLNIKFCA_01151
GBNPKNOO_01676  | HLNIKFCA_01150
GBNPKNOO_01677  | HLNIKFCA_01149
GBNPKNOO_01678  | HLNIKFCA_01148
GBNPKNOO_01679  | HLNIKFCA_01147
GBNPKNOO_01680  | HLNIKFCA_01146
GBNPKNOO_01681  | HLNIKFCA_01145
GBNPKNOO_01682  | HLNIKFCA_01144
GBNPKNOO_01683  | HLNIKFCA_01143
GBNPKNOO_01684  | È±Ê§
GBNPKNOO_01685  | È±Ê§
GBNPKNOO_01686  | È±Ê§
GBNPKNOO_01687  | È±Ê§
GBNPKNOO_01688  | È±Ê§
GBNPKNOO_01689  | È±Ê§
GBNPKNOO_01690  | È±Ê§
GBNPKNOO_01691  | È±Ê§
GBNPKNOO_01692  | È±Ê§
GBNPKNOO_01693  | È±Ê§
GBNPKNOO_01694  | È±Ê§

¾úÖê: CLAAAH236.combined
Ä¿±ê»ùÒòID | Æ¥ÅäµÄ¾úÖê»ùÒòID
--------------------------------
GBNPKNOO_01666  | ECDLBNHF_00079
GBNPKNOO_01667  | ECDLBNHF_00080
GBNPKNOO_01668  | È±Ê§
GBNPKNOO_01669  | ECDLBNHF_00082
GBNPKNOO_01670  | ECDLBNHF_00083
GBNPKNOO_01671  | ECDLBNHF_01289
GBNPKNOO_01672  | ECDLBNHF_01290
GBNPKNOO_01673  | ECDLBNHF_01291
GBNPKNOO_01674  | ECDLBNHF_01292
GBNPKNOO_01675  | ECDLBNHF_01293
GBNPKNOO_01676  | ECDLBNHF_01294
GBNPKNOO_01677  | ECDLBNHF_01295
GBNPKNOO_01678  | ECDLBNHF_01296
GBNPKNOO_01679  | ECDLBNHF_01297
GBNPKNOO_01680  | ECDLBNHF_01298
GBNPKNOO_01681  | ECDLBNHF_01299
GBNPKNOO_01682  | ECDLBNHF_01300
GBNPKNOO_01683  | ECDLBNHF_01301
GBNPKNOO_01684  | È±Ê§
GBNPKNOO_01685  | È±Ê§
GBNPKNOO_01686  | È±Ê§
GBNPKNOO_01687  | È±Ê§
GBNPKNOO_01688  | È±Ê§
GBNPKNOO_01689  | È±Ê§
GBNPKNOO_01690  | È±Ê§
GBNPKNOO_01691  | È±Ê§
GBNPKNOO_01692  | È±Ê§
GBNPKNOO_01693  | È±Ê§
GBNPKNOO_01694  | È±Ê§

¾úÖê: CLAAAH243.combined
Ä¿±ê»ùÒòID | Æ¥ÅäµÄ¾úÖê»ùÒòID
--------------------------------
GBNPKNOO_01666  | FNONEAPJ_00439
GBNPKNOO_01667  | FNONEAPJ_00440
GBNPKNOO_01668  | È±Ê§
GBNPKNOO_01669  | FNONEAPJ_00442
GBNPKNOO_01670  | FNONEAPJ_00443
GBNPKNOO_01671  | FNONEAPJ_00444
GBNPKNOO_01672  | FNONEAPJ_00445
GBNPKNOO_01673  | FNONEAPJ_00446
GBNPKNOO_01674  | FNONEAPJ_00447
GBNPKNOO_01675  | FNONEAPJ_00448
GBNPKNOO_01676  | FNONEAPJ_00449
GBNPKNOO_01677  | FNONEAPJ_00450
GBNPKNOO_01678  | FNONEAPJ_00451
GBNPKNOO_01679  | FNONEAPJ_00452
GBNPKNOO_01680  | FNONEAPJ_00453
GBNPKNOO_01681  | FNONEAPJ_00454
GBNPKNOO_01682  | FNONEAPJ_00455
GBNPKNOO_01683  | FNONEAPJ_00456
GBNPKNOO_01684  | FNONEAPJ_00457
GBNPKNOO_01685  | FNONEAPJ_00458
GBNPKNOO_01686  | FNONEAPJ_00459
GBNPKNOO_01687  | FNONEAPJ_00460
GBNPKNOO_01688  | FNONEAPJ_00461
GBNPKNOO_01689  | FNONEAPJ_00303
GBNPKNOO_01690  | FNONEAPJ_00421
GBNPKNOO_01691  | FNONEAPJ_00422
GBNPKNOO_01692  | FNONEAPJ_00423
GBNPKNOO_01693  | FNONEAPJ_00424
GBNPKNOO_01694  | FNONEAPJ_00425

¾úÖê: Fp360
Ä¿±ê»ùÒòID | Æ¥ÅäµÄ¾úÖê»ùÒòID
--------------------------------
GBNPKNOO_01666  | ODKINDFK_00710
GBNPKNOO_01667  | ODKINDFK_00711
GBNPKNOO_01668  | È±Ê§
GBNPKNOO_01669  | ODKINDFK_00713
GBNPKNOO_01670  | ODKINDFK_00714
GBNPKNOO_01671  | ODKINDFK_00715
GBNPKNOO_01672  | ODKINDFK_00716
GBNPKNOO_01673  | ODKINDFK_00717
GBNPKNOO_01674  | ODKINDFK_00718
GBNPKNOO_01675  | ODKINDFK_00719
GBNPKNOO_01676  | ODKINDFK_00720
GBNPKNOO_01677  | ODKINDFK_00721
GBNPKNOO_01678  | ODKINDFK_00722
GBNPKNOO_01679  | ODKINDFK_00723
GBNPKNOO_01680  | ODKINDFK_00724
GBNPKNOO_01681  | ODKINDFK_00725
GBNPKNOO_01682  | ODKINDFK_00726
GBNPKNOO_01683  | ODKINDFK_00727
GBNPKNOO_01684  | È±Ê§
GBNPKNOO_01685  | È±Ê§
GBNPKNOO_01686  | È±Ê§
GBNPKNOO_01687  | È±Ê§
GBNPKNOO_01688  | È±Ê§
GBNPKNOO_01689  | È±Ê§
GBNPKNOO_01690  | ODKINDFK_02446
GBNPKNOO_01691  | ODKINDFK_02445
GBNPKNOO_01692  | ODKINDFK_02444
GBNPKNOO_01693  | ODKINDFK_02443
GBNPKNOO_01694  | ODKINDFK_02442

¾úÖê: FPSSTS7063_SV_a2
Ä¿±ê»ùÒòID | Æ¥ÅäµÄ¾úÖê»ùÒòID
--------------------------------
GBNPKNOO_01666  | FCLCOBJO_01295
GBNPKNOO_01667  | FCLCOBJO_01294
GBNPKNOO_01668  | È±Ê§
GBNPKNOO_01669  | FCLCOBJO_01292
GBNPKNOO_01670  | FCLCOBJO_01291
GBNPKNOO_01671  | FCLCOBJO_01290
GBNPKNOO_01672  | FCLCOBJO_01289
GBNPKNOO_01673  | FCLCOBJO_01288
GBNPKNOO_01674  | FCLCOBJO_01287
GBNPKNOO_01675  | FCLCOBJO_01286
GBNPKNOO_01676  | FCLCOBJO_01285
GBNPKNOO_01677  | FCLCOBJO_01284
GBNPKNOO_01678  | FCLCOBJO_01283
GBNPKNOO_01679  | FCLCOBJO_01282
GBNPKNOO_01680  | FCLCOBJO_01281
GBNPKNOO_01681  | FCLCOBJO_01280
GBNPKNOO_01682  | FCLCOBJO_01279
GBNPKNOO_01683  | FCLCOBJO_01278
GBNPKNOO_01684  | FCLCOBJO_01154
GBNPKNOO_01685  | FCLCOBJO_01153
GBNPKNOO_01686  | FCLCOBJO_01152
GBNPKNOO_01687  | FCLCOBJO_01151
GBNPKNOO_01688  | FCLCOBJO_01150
GBNPKNOO_01689  | FCLCOBJO_01149
GBNPKNOO_01690  | È±Ê§
GBNPKNOO_01691  | È±Ê§
GBNPKNOO_01692  | È±Ê§
GBNPKNOO_01693  | È±Ê§
GBNPKNOO_01694  | È±Ê§

¾úÖê: GCA_003293635
Ä¿±ê»ùÒòID | Æ¥ÅäµÄ¾úÖê»ùÒòID
--------------------------------
GBNPKNOO_01666  | PCNNFIIN_02097
GBNPKNOO_01667  | PCNNFIIN_02098
GBNPKNOO_01668  | È±Ê§
GBNPKNOO_01669  | PCNNFIIN_02100
GBNPKNOO_01670  | PCNNFIIN_02101
GBNPKNOO_01671  | PCNNFIIN_02102
GBNPKNOO_01672  | PCNNFIIN_02103
GBNPKNOO_01673  | PCNNFIIN_02104
GBNPKNOO_01674  | PCNNFIIN_02105
GBNPKNOO_01675  | PCNNFIIN_02106
GBNPKNOO_01676  | PCNNFIIN_02107
GBNPKNOO_01677  | PCNNFIIN_02108
GBNPKNOO_01678  | PCNNFIIN_02109
GBNPKNOO_01679  | PCNNFIIN_02110
GBNPKNOO_01680  | PCNNFIIN_02111
GBNPKNOO_01681  | PCNNFIIN_02112
GBNPKNOO_01682  | PCNNFIIN_02113
GBNPKNOO_01683  | PCNNFIIN_02114
GBNPKNOO_01684  | È±Ê§
GBNPKNOO_01685  | È±Ê§
GBNPKNOO_01686  | È±Ê§
GBNPKNOO_01687  | È±Ê§
GBNPKNOO_01688  | È±Ê§
GBNPKNOO_01689  | È±Ê§
GBNPKNOO_01690  | PCNNFIIN_00782
GBNPKNOO_01691  | PCNNFIIN_00781
GBNPKNOO_01692  | PCNNFIIN_00780
GBNPKNOO_01693  | PCNNFIIN_00779
GBNPKNOO_01694  | PCNNFIIN_00778

¾úÖê: GCA_003433995
Ä¿±ê»ùÒòID | Æ¥ÅäµÄ¾úÖê»ùÒòID
--------------------------------
GBNPKNOO_01666  | DFAOLAND_02503
GBNPKNOO_01667  | DFAOLAND_02502
GBNPKNOO_01668  | È±Ê§
GBNPKNOO_01669  | DFAOLAND_02500
GBNPKNOO_01670  | DFAOLAND_02499
GBNPKNOO_01671  | DFAOLAND_02498
GBNPKNOO_01672  | DFAOLAND_02497
GBNPKNOO_01673  | DFAOLAND_02496
GBNPKNOO_01674  | DFAOLAND_02495
GBNPKNOO_01675  | DFAOLAND_02494
GBNPKNOO_01676  | DFAOLAND_02493
GBNPKNOO_01677  | DFAOLAND_02492
GBNPKNOO_01678  | DFAOLAND_02491
GBNPKNOO_01679  | DFAOLAND_02490
GBNPKNOO_01680  | DFAOLAND_02489
GBNPKNOO_01681  | DFAOLAND_02488
GBNPKNOO_01682  | DFAOLAND_02487
GBNPKNOO_01683  | DFAOLAND_02486
GBNPKNOO_01684  | DFAOLAND_02485
GBNPKNOO_01685  | DFAOLAND_02483
GBNPKNOO_01686  | DFAOLAND_02482
GBNPKNOO_01687  | È±Ê§
GBNPKNOO_01688  | È±Ê§
GBNPKNOO_01689  | DFAOLAND_02479
GBNPKNOO_01690  | È±Ê§
GBNPKNOO_01691  | È±Ê§
GBNPKNOO_01692  | È±Ê§
GBNPKNOO_01693  | È±Ê§
GBNPKNOO_01694  | È±Ê§

¾úÖê: GCA_017377665
Ä¿±ê»ùÒòID | Æ¥ÅäµÄ¾úÖê»ùÒòID
--------------------------------
GBNPKNOO_01666  | JLLLAGLB_01169
GBNPKNOO_01667  | JLLLAGLB_01170
GBNPKNOO_01668  | È±Ê§
GBNPKNOO_01669  | JLLLAGLB_01172
GBNPKNOO_01670  | JLLLAGLB_01173
GBNPKNOO_01671  | JLLLAGLB_01174
GBNPKNOO_01672  | JLLLAGLB_01175
GBNPKNOO_01673  | JLLLAGLB_01176
GBNPKNOO_01674  | JLLLAGLB_01177
GBNPKNOO_01675  | JLLLAGLB_01178
GBNPKNOO_01676  | JLLLAGLB_01179
GBNPKNOO_01677  | JLLLAGLB_01180
GBNPKNOO_01678  | JLLLAGLB_01181
GBNPKNOO_01679  | JLLLAGLB_01182
GBNPKNOO_01680  | JLLLAGLB_01183
GBNPKNOO_01681  | JLLLAGLB_01184
GBNPKNOO_01682  | JLLLAGLB_01185
GBNPKNOO_01683  | JLLLAGLB_01186
GBNPKNOO_01684  | È±Ê§
GBNPKNOO_01685  | È±Ê§
GBNPKNOO_01686  | È±Ê§
GBNPKNOO_01687  | È±Ê§
GBNPKNOO_01688  | È±Ê§
GBNPKNOO_01689  | È±Ê§
GBNPKNOO_01690  | JLLLAGLB_00146
GBNPKNOO_01691  | JLLLAGLB_00145
GBNPKNOO_01692  | JLLLAGLB_00144
GBNPKNOO_01693  | JLLLAGLB_00143
GBNPKNOO_01694  | JLLLAGLB_00142

¾úÖê: GCA_018364195
Ä¿±ê»ùÒòID | Æ¥ÅäµÄ¾úÖê»ùÒòID
--------------------------------
GBNPKNOO_01666  | HAAJKPDG_02055
GBNPKNOO_01667  | HAAJKPDG_02054
GBNPKNOO_01668  | È±Ê§
GBNPKNOO_01669  | HAAJKPDG_02052
GBNPKNOO_01670  | HAAJKPDG_02051
GBNPKNOO_01671  | HAAJKPDG_02050
GBNPKNOO_01672  | HAAJKPDG_02049
GBNPKNOO_01673  | HAAJKPDG_02048
GBNPKNOO_01674  | HAAJKPDG_02047
GBNPKNOO_01675  | HAAJKPDG_02046
GBNPKNOO_01676  | HAAJKPDG_02045
GBNPKNOO_01677  | HAAJKPDG_02044
GBNPKNOO_01678  | HAAJKPDG_02043
GBNPKNOO_01679  | HAAJKPDG_02042
GBNPKNOO_01680  | HAAJKPDG_02041
GBNPKNOO_01681  | HAAJKPDG_02040
GBNPKNOO_01682  | HAAJKPDG_02039
GBNPKNOO_01683  | HAAJKPDG_02038
GBNPKNOO_01684  | È±Ê§
GBNPKNOO_01685  | È±Ê§
GBNPKNOO_01686  | È±Ê§
GBNPKNOO_01687  | È±Ê§
GBNPKNOO_01688  | È±Ê§
GBNPKNOO_01689  | È±Ê§
GBNPKNOO_01690  | È±Ê§
GBNPKNOO_01691  | È±Ê§
GBNPKNOO_01692  | È±Ê§
GBNPKNOO_01693  | È±Ê§
GBNPKNOO_01694  | HAAJKPDG_00562

¾úÖê: GCA_018367245
Ä¿±ê»ùÒòID | Æ¥ÅäµÄ¾úÖê»ùÒòID
--------------------------------
GBNPKNOO_01666  | LCNOICHN_00582
GBNPKNOO_01667  | LCNOICHN_00583
GBNPKNOO_01668  | LCNOICHN_00584
GBNPKNOO_01669  | È±Ê§
GBNPKNOO_01670  | LCNOICHN_02084
GBNPKNOO_01671  | LCNOICHN_02083
GBNPKNOO_01672  | LCNOICHN_02082
GBNPKNOO_01673  | LCNOICHN_02081
GBNPKNOO_01674  | LCNOICHN_02080
GBNPKNOO_01675  | LCNOICHN_02079
GBNPKNOO_01676  | LCNOICHN_02078
GBNPKNOO_01677  | LCNOICHN_02077
GBNPKNOO_01678  | LCNOICHN_02076
GBNPKNOO_01679  | LCNOICHN_02075
GBNPKNOO_01680  | LCNOICHN_02074
GBNPKNOO_01681  | LCNOICHN_02073
GBNPKNOO_01682  | LCNOICHN_02072
GBNPKNOO_01683  | LCNOICHN_02071
GBNPKNOO_01684  | LCNOICHN_02070
GBNPKNOO_01685  | LCNOICHN_02068
GBNPKNOO_01686  | LCNOICHN_02067
GBNPKNOO_01687  | LCNOICHN_02066
GBNPKNOO_01688  | LCNOICHN_02065
GBNPKNOO_01689  | LCNOICHN_02064
GBNPKNOO_01690  | È±Ê§
GBNPKNOO_01691  | È±Ê§
GBNPKNOO_01692  | È±Ê§
GBNPKNOO_01693  | È±Ê§
GBNPKNOO_01694  | È±Ê§

¾úÖê: GCA_018368925
Ä¿±ê»ùÒòID | Æ¥ÅäµÄ¾úÖê»ùÒòID
--------------------------------
GBNPKNOO_01666  | HFFBGNBH_00252
GBNPKNOO_01667  | HFFBGNBH_00251
GBNPKNOO_01668  | HFFBGNBH_00250
GBNPKNOO_01669  | HFFBGNBH_00249
GBNPKNOO_01670  | HFFBGNBH_00248
GBNPKNOO_01671  | HFFBGNBH_00247
GBNPKNOO_01672  | HFFBGNBH_00246
GBNPKNOO_01673  | HFFBGNBH_00245
GBNPKNOO_01674  | HFFBGNBH_00244
GBNPKNOO_01675  | HFFBGNBH_00243
GBNPKNOO_01676  | HFFBGNBH_00242
GBNPKNOO_01677  | HFFBGNBH_00241
GBNPKNOO_01678  | HFFBGNBH_00240
GBNPKNOO_01679  | HFFBGNBH_00239
GBNPKNOO_01680  | HFFBGNBH_00238
GBNPKNOO_01681  | HFFBGNBH_00237
GBNPKNOO_01682  | HFFBGNBH_00236
GBNPKNOO_01683  | HFFBGNBH_00235
GBNPKNOO_01684  | È±Ê§
GBNPKNOO_01685  | È±Ê§
GBNPKNOO_01686  | È±Ê§
GBNPKNOO_01687  | È±Ê§
GBNPKNOO_01688  | È±Ê§
GBNPKNOO_01689  | È±Ê§
GBNPKNOO_01690  | È±Ê§
GBNPKNOO_01691  | È±Ê§
GBNPKNOO_01692  | È±Ê§
GBNPKNOO_01693  | È±Ê§
GBNPKNOO_01694  | È±Ê§

¾úÖê: GCA_018370385
Ä¿±ê»ùÒòID | Æ¥ÅäµÄ¾úÖê»ùÒòID
--------------------------------
GBNPKNOO_01666  | NNDKICJB_00019
GBNPKNOO_01667  | NNDKICJB_00020
GBNPKNOO_01668  | NNDKICJB_00021
GBNPKNOO_01669  | NNDKICJB_00022
GBNPKNOO_01670  | NNDKICJB_00023
GBNPKNOO_01671  | NNDKICJB_00024
GBNPKNOO_01672  | NNDKICJB_00025
GBNPKNOO_01673  | NNDKICJB_00026
GBNPKNOO_01674  | NNDKICJB_00027
GBNPKNOO_01675  | NNDKICJB_00028
GBNPKNOO_01676  | NNDKICJB_00028
GBNPKNOO_01677  | NNDKICJB_00028
GBNPKNOO_01678  | NNDKICJB_00029
GBNPKNOO_01679  | NNDKICJB_00030
GBNPKNOO_01680  | NNDKICJB_00031
GBNPKNOO_01681  | NNDKICJB_00032
GBNPKNOO_01682  | NNDKICJB_00033
GBNPKNOO_01683  | NNDKICJB_00034
GBNPKNOO_01684  | È±Ê§
GBNPKNOO_01685  | È±Ê§
GBNPKNOO_01686  | È±Ê§
GBNPKNOO_01687  | È±Ê§
GBNPKNOO_01688  | È±Ê§
GBNPKNOO_01689  | È±Ê§
GBNPKNOO_01690  | È±Ê§
GBNPKNOO_01691  | È±Ê§
GBNPKNOO_01692  | È±Ê§
GBNPKNOO_01693  | È±Ê§
GBNPKNOO_01694  | È±Ê§

¾úÖê: GCA_018377455
Ä¿±ê»ùÒòID | Æ¥ÅäµÄ¾úÖê»ùÒòID
--------------------------------
GBNPKNOO_01666  | NPBPAHGD_00121
GBNPKNOO_01667  | NPBPAHGD_00120
GBNPKNOO_01668  | NPBPAHGD_00119
GBNPKNOO_01669  | NPBPAHGD_00118
GBNPKNOO_01670  | NPBPAHGD_00117
GBNPKNOO_01671  | NPBPAHGD_00116
GBNPKNOO_01672  | NPBPAHGD_00115
GBNPKNOO_01673  | NPBPAHGD_00114
GBNPKNOO_01674  | NPBPAHGD_00113
GBNPKNOO_01675  | NPBPAHGD_00112
GBNPKNOO_01676  | NPBPAHGD_00111
GBNPKNOO_01677  | NPBPAHGD_00110
GBNPKNOO_01678  | NPBPAHGD_00109
GBNPKNOO_01679  | NPBPAHGD_00108
GBNPKNOO_01680  | NPBPAHGD_00107
GBNPKNOO_01681  | NPBPAHGD_00106
GBNPKNOO_01682  | NPBPAHGD_00105
GBNPKNOO_01683  | NPBPAHGD_00104
GBNPKNOO_01684  | NPBPAHGD_00103
GBNPKNOO_01685  | NPBPAHGD_00102
GBNPKNOO_01686  | NPBPAHGD_00101
GBNPKNOO_01687  | NPBPAHGD_00100
GBNPKNOO_01688  | NPBPAHGD_00099
GBNPKNOO_01689  | NPBPAHGD_00098
GBNPKNOO_01690  | È±Ê§
GBNPKNOO_01691  | È±Ê§
GBNPKNOO_01692  | È±Ê§
GBNPKNOO_01693  | È±Ê§
GBNPKNOO_01694  | È±Ê§

¾úÖê: GCA_018378015
Ä¿±ê»ùÒòID | Æ¥ÅäµÄ¾úÖê»ùÒòID
--------------------------------
GBNPKNOO_01666  | LNJKILEB_02596
GBNPKNOO_01667  | LNJKILEB_02595
GBNPKNOO_01668  | È±Ê§
GBNPKNOO_01669  | LNJKILEB_02593
GBNPKNOO_01670  | LNJKILEB_02592
GBNPKNOO_01671  | LNJKILEB_02591
GBNPKNOO_01672  | LNJKILEB_02590
GBNPKNOO_01673  | LNJKILEB_02589
GBNPKNOO_01674  | LNJKILEB_02588
GBNPKNOO_01675  | LNJKILEB_02587
GBNPKNOO_01676  | LNJKILEB_02586
GBNPKNOO_01677  | LNJKILEB_02585
GBNPKNOO_01678  | LNJKILEB_02584
GBNPKNOO_01679  | LNJKILEB_02583
GBNPKNOO_01680  | LNJKILEB_02582
GBNPKNOO_01681  | LNJKILEB_02581
GBNPKNOO_01682  | LNJKILEB_02580
GBNPKNOO_01683  | LNJKILEB_02579
GBNPKNOO_01684  | È±Ê§
GBNPKNOO_01685  | È±Ê§
GBNPKNOO_01686  | È±Ê§
GBNPKNOO_01687  | È±Ê§
GBNPKNOO_01688  | È±Ê§
GBNPKNOO_01689  | È±Ê§
GBNPKNOO_01690  | È±Ê§
GBNPKNOO_01691  | È±Ê§
GBNPKNOO_01692  | È±Ê§
GBNPKNOO_01693  | È±Ê§
GBNPKNOO_01694  | È±Ê§

¾úÖê: GCA_018381965
Ä¿±ê»ùÒòID | Æ¥ÅäµÄ¾úÖê»ùÒòID
--------------------------------
GBNPKNOO_01666  | GIMEAJEM_00939
GBNPKNOO_01667  | GIMEAJEM_00940
GBNPKNOO_01668  | È±Ê§
GBNPKNOO_01669  | GIMEAJEM_00942
GBNPKNOO_01670  | GIMEAJEM_00943
GBNPKNOO_01671  | GIMEAJEM_00944
GBNPKNOO_01672  | GIMEAJEM_00945
GBNPKNOO_01673  | GIMEAJEM_00946
GBNPKNOO_01674  | GIMEAJEM_00947
GBNPKNOO_01675  | GIMEAJEM_00948
GBNPKNOO_01676  | GIMEAJEM_00949
GBNPKNOO_01677  | GIMEAJEM_00950
GBNPKNOO_01678  | GIMEAJEM_00951
GBNPKNOO_01679  | GIMEAJEM_00952
GBNPKNOO_01680  | GIMEAJEM_00953
GBNPKNOO_01681  | GIMEAJEM_00954
GBNPKNOO_01682  | GIMEAJEM_00955
GBNPKNOO_01683  | GIMEAJEM_00956
GBNPKNOO_01684  | È±Ê§
GBNPKNOO_01685  | È±Ê§
GBNPKNOO_01686  | È±Ê§
GBNPKNOO_01687  | GIMEAJEM_00973
GBNPKNOO_01688  | È±Ê§
GBNPKNOO_01689  | GIMEAJEM_00975
GBNPKNOO_01690  | È±Ê§
GBNPKNOO_01691  | È±Ê§
GBNPKNOO_01692  | È±Ê§
GBNPKNOO_01693  | È±Ê§
GBNPKNOO_01694  | È±Ê§

¾úÖê: GCA_018382675
Ä¿±ê»ùÒòID | Æ¥ÅäµÄ¾úÖê»ùÒòID
--------------------------------
GBNPKNOO_01666  | GELIEAEF_00418
GBNPKNOO_01667  | GELIEAEF_00417
GBNPKNOO_01668  | GELIEAEF_00416
GBNPKNOO_01669  | GELIEAEF_00415
GBNPKNOO_01670  | GELIEAEF_00414
GBNPKNOO_01671  | GELIEAEF_00413
GBNPKNOO_01672  | GELIEAEF_00412
GBNPKNOO_01673  | GELIEAEF_00411
GBNPKNOO_01674  | GELIEAEF_00410
GBNPKNOO_01675  | GELIEAEF_00409
GBNPKNOO_01676  | GELIEAEF_00408
GBNPKNOO_01677  | GELIEAEF_00407
GBNPKNOO_01678  | GELIEAEF_00406
GBNPKNOO_01679  | GELIEAEF_00405
GBNPKNOO_01680  | GELIEAEF_00404
GBNPKNOO_01681  | GELIEAEF_00403
GBNPKNOO_01682  | GELIEAEF_00402
GBNPKNOO_01683  | GELIEAEF_00401
GBNPKNOO_01684  | GELIEAEF_01535
GBNPKNOO_01685  | È±Ê§
GBNPKNOO_01686  | GELIEAEF_01537
GBNPKNOO_01687  | GELIEAEF_01538
GBNPKNOO_01688  | È±Ê§
GBNPKNOO_01689  | GELIEAEF_01540
GBNPKNOO_01690  | È±Ê§
GBNPKNOO_01691  | È±Ê§
GBNPKNOO_01692  | È±Ê§
GBNPKNOO_01693  | È±Ê§
GBNPKNOO_01694  | È±Ê§

¾úÖê: GCA_019041425
Ä¿±ê»ùÒòID | Æ¥ÅäµÄ¾úÖê»ùÒòID
--------------------------------
GBNPKNOO_01666  | MBGGDBHE_00639
GBNPKNOO_01667  | MBGGDBHE_00638
GBNPKNOO_01668  | È±Ê§
GBNPKNOO_01669  | MBGGDBHE_00636
GBNPKNOO_01670  | MBGGDBHE_00635
GBNPKNOO_01671  | MBGGDBHE_00634
GBNPKNOO_01672  | MBGGDBHE_00633
GBNPKNOO_01673  | MBGGDBHE_00632
GBNPKNOO_01674  | MBGGDBHE_00631
GBNPKNOO_01675  | MBGGDBHE_00630
GBNPKNOO_01676  | MBGGDBHE_00629
GBNPKNOO_01677  | MBGGDBHE_00628
GBNPKNOO_01678  | MBGGDBHE_00627
GBNPKNOO_01679  | MBGGDBHE_00626
GBNPKNOO_01680  | MBGGDBHE_00625
GBNPKNOO_01681  | MBGGDBHE_00624
GBNPKNOO_01682  | MBGGDBHE_00623
GBNPKNOO_01683  | MBGGDBHE_00622
GBNPKNOO_01684  | MBGGDBHE_00621
GBNPKNOO_01685  | MBGGDBHE_01117
