query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
IOFJGDLB_01965	411483.FAEPRAA2165_02601	8.28e-120	341.0	COG1051@1|root,COG1051@2|Bacteria,1V3IM@1239|Firmicutes,24HEA@186801|Clostridia,3WJKY@541000|Ruminococcaceae	2|Bacteria	F	Psort location Cytoplasmic, score 8.96	mutX	-	3.6.1.55	ko:K03574	-	-	-	-	ko00000,ko01000,ko03400	-	-	-	NUDIX
IOFJGDLB_01986	411483.FAEPRAA2165_02576	5.88e-269	739.0	COG3386@1|root,COG3386@2|Bacteria,1VH9N@1239|Firmicutes	2|Bacteria	G	Exhibits lactonase activity. Acts in cells with perturbed membrane integrity and is possibly related to the membrane homeostasis (By similarity)	drp35	GO:0005575,GO:0005576	3.1.1.17	ko:K01053,ko:K02352	ko00030,ko00053,ko00930,ko01100,ko01110,ko01120,ko01130,ko01200,ko01220,map00030,map00053,map00930,map01100,map01110,map01120,map01130,map01200,map01220	M00129	R01519,R02933,R03751	RC00537,RC00983	ko00000,ko00001,ko00002,ko01000,ko04147	-	-	-	SGL,Str_synth
IOFJGDLB_02186	856793.MICA_2051	0.000306	47.4	COG1396@1|root,COG1396@2|Bacteria	2|Bacteria	K	sequence-specific DNA binding	-	-	-	-	-	-	-	-	-	-	-	-	HTH_3
IOFJGDLB_02353	411483.FAEPRAA2165_02881	0.0	1026.0	COG1022@1|root,COG1022@2|Bacteria,1V0YG@1239|Firmicutes,24IFY@186801|Clostridia,3WRIU@541000|Ruminococcaceae	2|Bacteria	I	Psort location Cytoplasmic, score	-	-	6.2.1.3	ko:K01897	ko00061,ko00071,ko01100,ko01212,ko02024,ko03320,ko04146,ko04216,ko04714,ko04920,map00061,map00071,map01100,map01212,map02024,map03320,map04146,map04216,map04714,map04920	M00086	R01280	RC00004,RC00014	ko00000,ko00001,ko00002,ko01000,ko01004,ko04147	4.C.1.1	-	-	AMP-binding,AMP-binding_C,Acyltransferase
IOFJGDLB_02872	411483.FAEPRAA2165_01229	0.0	1640.0	COG1199@1|root,COG1199@2|Bacteria,1TPNB@1239|Firmicutes,248ZI@186801|Clostridia,3WGEC@541000|Ruminococcaceae	2|Bacteria	L	HELICc2	dinG	-	3.1.12.1,3.6.4.12	ko:K07464,ko:K10844	ko03022,ko03420,map03022,map03420	M00290	-	-	ko00000,ko00001,ko00002,ko01000,ko02048,ko03021,ko03400	-	-	-	DEAD,DEAD_2,HBB,Helicase_C_2,PDDEXK_1
IOFJGDLB_02354	411483.FAEPRAA2165_02880	0.0	1016.0	COG1022@1|root,COG1022@2|Bacteria,1V0YG@1239|Firmicutes,24IFY@186801|Clostridia,3WRIU@541000|Ruminococcaceae	2|Bacteria	I	Psort location Cytoplasmic, score	-	-	6.2.1.3	ko:K01897	ko00061,ko00071,ko01100,ko01212,ko02024,ko03320,ko04146,ko04216,ko04714,ko04920,map00061,map00071,map01100,map01212,map02024,map03320,map04146,map04216,map04714,map04920	M00086	R01280	RC00004,RC00014	ko00000,ko00001,ko00002,ko01000,ko01004,ko04147	4.C.1.1	-	-	AMP-binding,AMP-binding_C,Acyltransferase
IOFJGDLB_00210	411483.FAEPRAA2165_02375	1.24e-104	302.0	COG1327@1|root,COG1327@2|Bacteria,1V3JA@1239|Firmicutes,24HFT@186801|Clostridia,3WJ07@541000|Ruminococcaceae	2|Bacteria	K	Negatively regulates transcription of bacterial ribonucleotide reductase nrd genes and operons by binding to NrdR- boxes	nrdR	GO:0000166,GO:0003674,GO:0003676,GO:0003677,GO:0003690,GO:0005488,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006355,GO:0008144,GO:0008150,GO:0009889,GO:0009890,GO:0009892,GO:0010468,GO:0010556,GO:0010558,GO:0010605,GO:0010629,GO:0017076,GO:0019219,GO:0019222,GO:0030554,GO:0031323,GO:0031324,GO:0031326,GO:0031327,GO:0032553,GO:0032555,GO:0032559,GO:0035639,GO:0036094,GO:0043167,GO:0043168,GO:0044424,GO:0044444,GO:0044464,GO:0045892,GO:0045934,GO:0048519,GO:0048523,GO:0050789,GO:0050794,GO:0051171,GO:0051172,GO:0051252,GO:0051253,GO:0060255,GO:0065007,GO:0080090,GO:0097159,GO:0097367,GO:1901265,GO:1901363,GO:1902679,GO:1903506,GO:1903507,GO:2000112,GO:2000113,GO:2001141	-	ko:K07738	-	-	-	-	ko00000,ko03000	-	-	-	ATP-cone
IOFJGDLB_02068	411483.FAEPRAA2165_02843	4.12e-60	184.0	COG0185@1|root,COG0185@2|Bacteria,1V6CX@1239|Firmicutes,24JN3@186801|Clostridia,3WJ9F@541000|Ruminococcaceae	2|Bacteria	J	Protein S19 forms a complex with S13 that binds strongly to the 16S ribosomal RNA	rpsS	GO:0000028,GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0005886,GO:0006412,GO:0006518,GO:0006807,GO:0006996,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015935,GO:0016020,GO:0016043,GO:0019538,GO:0022607,GO:0022613,GO:0022618,GO:0022626,GO:0022627,GO:0032991,GO:0034622,GO:0034641,GO:0034645,GO:0040007,GO:0042254,GO:0042255,GO:0042274,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0065003,GO:0070925,GO:0071704,GO:0071826,GO:0071840,GO:0071944,GO:1901564,GO:1901566,GO:1901576,GO:1990904	-	ko:K02965	ko03010,map03010	M00178,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_S19
IOFJGDLB_00977	411483.FAEPRAA2165_01715	8.45e-38	126.0	COG0333@1|root,COG0333@2|Bacteria,1VEFI@1239|Firmicutes,24QM0@186801|Clostridia,3WKID@541000|Ruminococcaceae	2|Bacteria	J	Belongs to the bacterial ribosomal protein bL32 family	rpmF	GO:0000027,GO:0000302,GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0006950,GO:0006979,GO:0006996,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009314,GO:0009628,GO:0009987,GO:0010467,GO:0015934,GO:0016043,GO:0019538,GO:0022607,GO:0022613,GO:0022618,GO:0022625,GO:0022626,GO:0032991,GO:0034622,GO:0034641,GO:0034645,GO:0042221,GO:0042254,GO:0042255,GO:0042273,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0050896,GO:0065003,GO:0070925,GO:0071704,GO:0071826,GO:0071840,GO:1901564,GO:1901566,GO:1901576,GO:1901700,GO:1990904	-	ko:K02911	ko03010,map03010	M00178	-	-	br01610,ko00000,ko00001,ko00002,ko03011,ko03029	-	-	-	Ribosomal_L32p
IOFJGDLB_01187	411483.FAEPRAA2165_03458	1e-21	85.1	COG3976@1|root,COG3976@2|Bacteria	2|Bacteria	S	FMN binding	-	-	-	-	-	-	-	-	-	-	-	-	FMN_bind
IOFJGDLB_02089	411483.FAEPRAA2165_02822	7.03e-19	77.0	COG0257@1|root,COG0257@2|Bacteria,1VK4F@1239|Firmicutes,24UGF@186801|Clostridia,3WM8G@541000|Ruminococcaceae	2|Bacteria	J	Belongs to the bacterial ribosomal protein bL36 family	rpmJ	GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015934,GO:0019538,GO:0022625,GO:0022626,GO:0032991,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1990904	-	ko:K02919	ko03010,map03010	M00178	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_L36
IOFJGDLB_00760	411483.FAEPRAA2165_01968	5.43e-52	164.0	COG0776@1|root,COG0776@2|Bacteria,1V9XQ@1239|Firmicutes,24MM0@186801|Clostridia,3WKJ9@541000|Ruminococcaceae	2|Bacteria	L	Histone-like DNA-binding protein which is capable of wrapping DNA to stabilize it, and thus to prevent its denaturation under extreme environmental conditions	hup	-	-	ko:K03530	-	-	-	-	ko00000,ko03032,ko03036,ko03400	-	-	-	Bac_DNA_binding
