query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
HACLHHAG_02008	718252.FP2_18830	1.05e-225	622.0	COG1893@1|root,COG1893@2|Bacteria,1UM1M@1239|Firmicutes,249J4@186801|Clostridia,3WM5D@541000|Ruminococcaceae	2|Bacteria	H	Catalyzes the NADPH-dependent reduction of ketopantoate into pantoic acid	panE	-	1.1.1.169	ko:K00077	ko00770,ko01100,ko01110,map00770,map01100,map01110	M00119	R02472	RC00726	ko00000,ko00001,ko00002,ko01000	-	-	-	ApbA,ApbA_C
HACLHHAG_02036	718252.FP2_18570	5.9e-186	516.0	COG0657@1|root,COG0657@2|Bacteria,1TP1H@1239|Firmicutes,24D7F@186801|Clostridia,3WIZJ@541000|Ruminococcaceae	2|Bacteria	I	alpha/beta hydrolase fold	-	-	-	-	-	-	-	-	-	-	-	-	Abhydrolase_3,DLH,Peptidase_S9
HACLHHAG_00892	718252.FP2_25300	2.02e-96	282.0	COG1846@1|root,COG1846@2|Bacteria,1VA2S@1239|Firmicutes,25CPK@186801|Clostridia,3WM6Y@541000|Ruminococcaceae	2|Bacteria	K	MarR family	-	-	-	-	-	-	-	-	-	-	-	-	MarR,MarR_2
HACLHHAG_00977	718252.FP2_24350	2.17e-209	578.0	COG0561@1|root,COG0561@2|Bacteria,1TRXT@1239|Firmicutes,24SES@186801|Clostridia,3WRI6@541000|Ruminococcaceae	2|Bacteria	S	haloacid dehalogenase-like hydrolase	-	-	3.1.3.23	ko:K07757	-	-	R00804	-	ko00000,ko01000	-	-	-	Hydrolase_3
HACLHHAG_00252	718252.FP2_12250	3.55e-201	558.0	COG1876@1|root,COG1876@2|Bacteria,1V1F7@1239|Firmicutes,24E6R@186801|Clostridia,3WIZM@541000|Ruminococcaceae	2|Bacteria	M	Serine-type D-Ala-D-Ala carboxypeptidase	yodJ	-	3.4.13.22,3.4.16.4,3.4.17.14	ko:K01286,ko:K07260,ko:K18866	ko00550,ko01100,ko01502,ko02020,map00550,map01100,map01502,map02020	M00651,M00652	-	-	ko00000,ko00001,ko00002,ko01000,ko01002,ko01011,ko01504	-	-	-	VanY
HACLHHAG_00496	718252.FP2_01960	2.58e-108	312.0	COG3409@1|root,COG3409@2|Bacteria	2|Bacteria	M	Peptidoglycan-binding domain 1 protein	pdcA	-	-	-	-	-	-	-	-	-	-	-	PG_binding_1,Peptidase_M74
HACLHHAG_01583	411483.FAEPRAA2165_02394	1.06e-74	230.0	COG0739@1|root,COG0739@2|Bacteria,1V3ZU@1239|Firmicutes,24RH8@186801|Clostridia,3WPUG@541000|Ruminococcaceae	2|Bacteria	M	Peptidase family M23	envC_2	GO:0005575,GO:0005618,GO:0005623,GO:0005886,GO:0016020,GO:0030312,GO:0044464,GO:0071944	-	ko:K21471	-	-	-	-	ko00000,ko01000,ko01002,ko01011	-	-	-	Peptidase_M23
HACLHHAG_01694	718252.FP2_19960	1.86e-219	606.0	COG1686@1|root,COG1686@2|Bacteria,1TQ8M@1239|Firmicutes,2480S@186801|Clostridia,3WIT9@541000|Ruminococcaceae	2|Bacteria	M	Belongs to the peptidase S11 family	-	-	3.4.16.4	ko:K01286,ko:K07258	ko00550,ko01100,map00550,map01100	-	-	-	ko00000,ko00001,ko01000,ko01002,ko01011	-	-	-	PBP5_C,Peptidase_S11
HACLHHAG_01609	748224.HMPREF9436_01585	8.13e-198	556.0	COG0520@1|root,COG0520@2|Bacteria,1TQ1W@1239|Firmicutes,249CS@186801|Clostridia,3WH06@541000|Ruminococcaceae	2|Bacteria	E	cysteine desulfurase family protein	sufS	-	2.8.1.7,4.4.1.16	ko:K11717	ko00450,ko01100,map00450,map01100	-	R03599,R11528	RC00961,RC01789,RC02313	ko00000,ko00001,ko01000	-	-	-	Aminotran_5
HACLHHAG_01800	657322.FPR_29850	2.72e-92	278.0	2DPRU@1|root,3334J@2|Bacteria,1VGDR@1239|Firmicutes	2|Bacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	DUF2953
HACLHHAG_01811	718252.FP2_06080	1.53e-216	598.0	COG0223@1|root,COG0223@2|Bacteria,1TQ32@1239|Firmicutes,248ED@186801|Clostridia,3WGPQ@541000|Ruminococcaceae	2|Bacteria	J	Attaches a formyl group to the free amino group of methionyl-tRNA(fMet). The formyl group appears to play a dual role in the initiator identity of N-formylmethionyl-tRNA by promoting its recognition by IF2 and preventing the misappropriation of this tRNA by the elongation apparatus	fmt	-	2.1.2.9	ko:K00604	ko00670,ko00970,map00670,map00970	-	R03940	RC00026,RC00165	ko00000,ko00001,ko01000	-	-	-	Formyl_trans_C,Formyl_trans_N
HACLHHAG_00272	718252.FP2_12490	2.39e-238	658.0	COG1306@1|root,COG1306@2|Bacteria,1UFJZ@1239|Firmicutes,24TYT@186801|Clostridia,3WJIH@541000|Ruminococcaceae	2|Bacteria	S	Putative glycosyl hydrolase domain	-	-	-	-	-	-	-	-	-	-	-	-	Cu_amine_oxidN1,DUF4015
HACLHHAG_01679	718252.FP2_19820	3.5e-97	283.0	COG1846@1|root,COG1846@2|Bacteria,1V749@1239|Firmicutes,24KYW@186801|Clostridia,3WKAC@541000|Ruminococcaceae	2|Bacteria	K	Transcriptional regulator, MarR family	-	-	-	-	-	-	-	-	-	-	-	-	Lant_dehydr_N,MarR,MarR_2
HACLHHAG_01699	411483.FAEPRAA2165_00246	1.18e-117	343.0	COG0564@1|root,COG0564@2|Bacteria,1TX59@1239|Firmicutes,24HTV@186801|Clostridia,3WHF8@541000|Ruminococcaceae	2|Bacteria	J	Pseudouridine synthase	rluC	-	5.4.99.23,5.4.99.28,5.4.99.29	ko:K06177,ko:K06180	-	-	-	-	ko00000,ko01000,ko03009,ko03016	-	-	-	PseudoU_synth_2
HACLHHAG_00616	411471.SUBVAR_05872	1.29e-06	58.5	COG2385@1|root,COG2385@2|Bacteria,1V9H8@1239|Firmicutes,24K70@186801|Clostridia,3WI9P@541000|Ruminococcaceae	2|Bacteria	D	SpoIID LytB domain protein	-	-	-	ko:K06381	-	-	-	-	ko00000	-	-	-	CinA,MoCF_biosynth,Sortase,SpoIID
HACLHHAG_00255	718252.FP2_12280	1.97e-275	754.0	28IAA@1|root,2Z8CW@2|Bacteria,1TQHP@1239|Firmicutes,248TG@186801|Clostridia,3WINY@541000|Ruminococcaceae	2|Bacteria	S	SGNH hydrolase-like domain, acetyltransferase AlgX	-	-	-	-	-	-	-	-	-	-	-	-	DHHW
HACLHHAG_00497	718252.FP2_01970	9.47e-137	387.0	2AUKD@1|root,31K93@2|Bacteria,1V6PK@1239|Firmicutes,24J91@186801|Clostridia,3WJSP@541000|Ruminococcaceae	2|Bacteria	S	stage II sporulation protein R	spoIIR	-	-	ko:K06387	-	-	-	-	ko00000	-	-	-	Spore_II_R
HACLHHAG_01099	718252.FP2_26480	4.57e-129	367.0	COG0778@1|root,COG0778@2|Bacteria,1V3VK@1239|Firmicutes,25BI4@186801|Clostridia,3WM21@541000|Ruminococcaceae	2|Bacteria	C	Nitroreductase family	-	-	-	-	-	-	-	-	-	-	-	-	Nitroreductase
HACLHHAG_01608	718252.FP2_07030	1.2e-49	157.0	2DR4V@1|root,33A63@2|Bacteria,1VKGM@1239|Firmicutes,24UDH@186801|Clostridia,3WMI7@541000|Ruminococcaceae	2|Bacteria	S	Protein of unknown function (DUF3343)	-	-	-	-	-	-	-	-	-	-	-	-	DUF3343
HACLHHAG_01849	718252.FP2_06450	1.77e-241	665.0	COG3314@1|root,COG3314@2|Bacteria,1TR0V@1239|Firmicutes,247XA@186801|Clostridia,3WKX1@541000|Ruminococcaceae	2|Bacteria	S	Sporulation integral membrane protein YlbJ	ylbJ	-	-	-	-	-	-	-	-	-	-	-	Gate
HACLHHAG_02367	1408437.JNJN01000021_gene81	5.46e-08	49.7	2EQDU@1|root,33HZV@2|Bacteria,1VKZI@1239|Firmicutes,24WNK@186801|Clostridia	2|Bacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
HACLHHAG_00190	718252.FP2_11460	1.91e-298	815.0	COG1649@1|root,COG1649@2|Bacteria,1TRTG@1239|Firmicutes,24B2F@186801|Clostridia,3WGB4@541000|Ruminococcaceae	2|Bacteria	M	lipoprotein YddW precursor K01189	yngK	-	-	-	-	-	-	-	-	-	-	-	Big_2,Cu_amine_oxidN1,GHL10,SLH
HACLHHAG_00253	718252.FP2_12260	8.05e-95	281.0	2C9HT@1|root,2ZDJ9@2|Bacteria,1W4SA@1239|Firmicutes,255IW@186801|Clostridia,3WQUU@541000|Ruminococcaceae	2|Bacteria	S	Domain of unknown function (DUF4358)	-	-	-	-	-	-	-	-	-	-	-	-	DUF4358
HACLHHAG_00626	718252.FP2_15650	1.05e-199	555.0	COG0063@1|root,COG0063@2|Bacteria,1TNZE@1239|Firmicutes,2480H@186801|Clostridia,3WG7J@541000|Ruminococcaceae	2|Bacteria	H	Bifunctional enzyme that catalyzes the epimerization of the S- and R-forms of NAD(P)HX and the dehydration of the S-form of NAD(P)HX at the expense of ADP, which is converted to AMP. This allows the repair of both epimers of NAD(P)HX, a damaged form of NAD(P)H that is a result of enzymatic or heat-dependent hydration	nnrD	-	4.2.1.136,5.1.99.6	ko:K17758,ko:K17759	-	-	-	-	ko00000,ko01000	-	-	-	Carb_kinase,YjeF_N
HACLHHAG_00629	718252.FP2_15680	0.0	1384.0	COG3409@1|root,COG3409@2|Bacteria,1TS29@1239|Firmicutes,247SQ@186801|Clostridia,3WGZA@541000|Ruminococcaceae	2|Bacteria	M	peptidoglycan binding domain protein	sleC	-	-	-	-	-	-	-	-	-	-	-	PG_binding_1,SpoIID
HACLHHAG_00958	718252.FP2_24560	2.18e-146	413.0	2E77V@1|root,32VJN@2|Bacteria,1VA37@1239|Firmicutes,24P5M@186801|Clostridia,3WKQS@541000|Ruminococcaceae	2|Bacteria	S	Psort location CytoplasmicMembrane, score	-	-	-	-	-	-	-	-	-	-	-	-	-
HACLHHAG_00661	718252.FP2_15940	6.03e-126	358.0	COG0424@1|root,COG0424@2|Bacteria,1V6FH@1239|Firmicutes,24JRN@186801|Clostridia,3WJIZ@541000|Ruminococcaceae	2|Bacteria	D	Maf-like protein	maf	GO:0000278,GO:0000281,GO:0000910,GO:0000917,GO:0005575,GO:0005623,GO:0007049,GO:0008150,GO:0009987,GO:0016043,GO:0022402,GO:0022607,GO:0030428,GO:0032506,GO:0044085,GO:0044464,GO:0051301,GO:0061640,GO:0071840,GO:0090529,GO:1902410,GO:1903047	-	ko:K06287	-	-	-	-	ko00000	-	-	-	Maf
HACLHHAG_00136	718252.FP2_10450	1.57e-198	550.0	COG1028@1|root,COG1028@2|Bacteria,1TQ3V@1239|Firmicutes,24ARQ@186801|Clostridia,3WIKB@541000|Ruminococcaceae	2|Bacteria	IQ	short chain dehydrogenase	-	-	-	-	-	-	-	-	-	-	-	-	adh_short,adh_short_C2
HACLHHAG_00474	718252.FP2_01690	6.32e-89	271.0	COG2755@1|root,COG2755@2|Bacteria	2|Bacteria	E	lipolytic protein G-D-S-L family	-	-	-	-	-	-	-	-	-	-	-	-	Big_2,F5_F8_type_C,FG-GAP,Phage_fiber_2,RicinB_lectin_2,SLH,VCBS,fn3
HACLHHAG_00601	718252.FP2_16190	1.36e-82	245.0	COG5341@1|root,COG5341@2|Bacteria	2|Bacteria	S	NusG domain II	-	-	-	-	-	-	-	-	-	-	-	-	NusG_II
HACLHHAG_00831	718252.FP2_05140	7.14e-192	533.0	COG1307@1|root,COG1307@2|Bacteria,1TSKD@1239|Firmicutes,24AE9@186801|Clostridia,3WI03@541000|Ruminococcaceae	2|Bacteria	S	EDD domain protein, DegV family	yitS	-	-	-	-	-	-	-	-	-	-	-	DegV
HACLHHAG_01051	718252.FP2_26970	2.03e-78	234.0	COG1321@1|root,COG1321@2|Bacteria,1VH4R@1239|Firmicutes,24SPR@186801|Clostridia	2|Bacteria	K	Iron dependent repressor, N-terminal DNA binding domain	-	-	-	ko:K03709	-	-	-	-	ko00000,ko03000	-	-	-	Fe_dep_repr_C,Fe_dep_repress,FeoA,MarR_2
HACLHHAG_01734	1160721.RBI_II00299	3.17e-09	54.7	2A9YS@1|root,30Z73@2|Bacteria,1US7X@1239|Firmicutes,25A6U@186801|Clostridia,3WR9D@541000|Ruminococcaceae	2|Bacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
HACLHHAG_00849	718252.FP2_05330	6.44e-263	721.0	COG1559@1|root,COG1559@2|Bacteria,1TS48@1239|Firmicutes,2493B@186801|Clostridia,3WHZ1@541000|Ruminococcaceae	2|Bacteria	S	Functions as a peptidoglycan terminase that cleaves nascent peptidoglycan strands endolytically to terminate their elongation	mltG	-	-	ko:K07082	-	-	-	-	ko00000	-	-	-	YceG
HACLHHAG_01908	411483.FAEPRAA2165_03474	1.97e-166	476.0	COG0544@1|root,COG0544@2|Bacteria,1V3TE@1239|Firmicutes,24AAA@186801|Clostridia,3WNHD@541000|Ruminococcaceae	2|Bacteria	O	peptidylprolyl isomerase	tig	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464	-	ko:K03545	-	-	-	-	ko00000	-	-	-	FKBP_C,Trigger_C,Trigger_N
HACLHHAG_00042	718252.FP2_15050	7.06e-220	607.0	COG2890@1|root,COG2890@2|Bacteria,1TSMA@1239|Firmicutes,24838@186801|Clostridia,3WGK1@541000|Ruminococcaceae	2|Bacteria	J	Methylates the class 1 translation termination release factors RF1 PrfA and RF2 PrfB on the glutamine residue of the universally conserved GGQ motif	prmC	GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006259,GO:0006304,GO:0006305,GO:0006306,GO:0006464,GO:0006479,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008168,GO:0008170,GO:0008213,GO:0008276,GO:0008757,GO:0009007,GO:0009008,GO:0009987,GO:0016740,GO:0016741,GO:0018364,GO:0019538,GO:0032259,GO:0032775,GO:0034641,GO:0036009,GO:0036211,GO:0043170,GO:0043412,GO:0043414,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044424,GO:0044444,GO:0044464,GO:0044728,GO:0046483,GO:0071704,GO:0090304,GO:0140096,GO:0140097,GO:1901360,GO:1901564	2.1.1.297,2.1.1.298	ko:K02493,ko:K07320	-	-	R10806	RC00003,RC03279	ko00000,ko01000,ko03009,ko03012	-	-	-	MTS
HACLHHAG_01732	718252.FP2_20440	4.31e-128	363.0	COG0406@1|root,COG0406@2|Bacteria,1V25J@1239|Firmicutes,24FZT@186801|Clostridia,3WK6H@541000|Ruminococcaceae	2|Bacteria	G	Phosphoglycerate mutase family	-	-	3.1.3.85,5.4.2.11,5.4.2.12	ko:K01834,ko:K15634,ko:K22306	ko00010,ko00260,ko00680,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,ko04922,ko05230,map00010,map00260,map00680,map01100,map01110,map01120,map01130,map01200,map01230,map04922,map05230	M00001,M00002,M00003	R01518	RC00536	ko00000,ko00001,ko00002,ko01000,ko04131,ko04147	-	-	-	His_Phos_1
HACLHHAG_02033	718252.FP2_18600	1.41e-125	357.0	COG1247@1|root,COG1247@2|Bacteria,1V6X5@1239|Firmicutes,24KJU@186801|Clostridia	2|Bacteria	M	acetyltransferase (GNAT) family	ywnH	-	2.3.1.183	ko:K03823	ko00440,ko01130,map00440,map01130	-	R08871,R08938	RC00004,RC00064	ko00000,ko00001,ko01000	-	-	-	Acetyltransf_1,Acetyltransf_4,HTH_20
HACLHHAG_00037	748224.HMPREF9436_00327	1.56e-78	241.0	2E63V@1|root,330SW@2|Bacteria,1VJ4Y@1239|Firmicutes,24U7K@186801|Clostridia	2|Bacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
HACLHHAG_00266	411483.FAEPRAA2165_02612	2.12e-119	352.0	2FCAY@1|root,344EI@2|Bacteria,1VZI3@1239|Firmicutes,252RF@186801|Clostridia,3WQBB@541000|Ruminococcaceae	2|Bacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
HACLHHAG_00471	718252.FP2_01660	1.02e-227	628.0	COG0226@1|root,COG0226@2|Bacteria,1VT8I@1239|Firmicutes,24IAW@186801|Clostridia,3WJDA@541000|Ruminococcaceae	2|Bacteria	P	PBP superfamily domain	sphX	-	-	ko:K02040	ko02010,ko02020,ko05152,map02010,map02020,map05152	M00222	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.7	-	-	PBP_like_2
HACLHHAG_00480	718252.FP2_01750	3e-113	325.0	COG2954@1|root,COG2954@2|Bacteria,1VJMJ@1239|Firmicutes,257RA@186801|Clostridia,3WJIX@541000|Ruminococcaceae	2|Bacteria	S	Psort location Cytoplasmic, score	-	GO:0003674,GO:0003824,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0050355	-	-	-	-	-	-	-	-	-	-	CHAD,CYTH
HACLHHAG_00847	718252.FP2_05310	4.16e-159	446.0	COG0125@1|root,COG0125@2|Bacteria,1V2D5@1239|Firmicutes,25CJJ@186801|Clostridia,3WIE4@541000|Ruminococcaceae	2|Bacteria	F	thymidylate kinase	tmk	GO:0000166,GO:0000287,GO:0001882,GO:0001883,GO:0003674,GO:0003824,GO:0004798,GO:0005488,GO:0005515,GO:0005524,GO:0005525,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006220,GO:0006221,GO:0006227,GO:0006233,GO:0006235,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008144,GO:0008150,GO:0008152,GO:0009041,GO:0009058,GO:0009117,GO:0009123,GO:0009129,GO:0009132,GO:0009133,GO:0009138,GO:0009139,GO:0009141,GO:0009142,GO:0009147,GO:0009148,GO:0009161,GO:0009165,GO:0009173,GO:0009186,GO:0009189,GO:0009196,GO:0009197,GO:0009200,GO:0009202,GO:0009211,GO:0009212,GO:0009218,GO:0009219,GO:0009221,GO:0009259,GO:0009262,GO:0009263,GO:0009265,GO:0009394,GO:0009987,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016776,GO:0017076,GO:0018130,GO:0019001,GO:0019205,GO:0019438,GO:0019637,GO:0019692,GO:0019693,GO:0030554,GO:0032549,GO:0032550,GO:0032553,GO:0032555,GO:0032559,GO:0032561,GO:0034641,GO:0034654,GO:0035639,GO:0036094,GO:0042802,GO:0042803,GO:0043167,GO:0043168,GO:0043169,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044424,GO:0044464,GO:0046044,GO:0046072,GO:0046075,GO:0046077,GO:0046385,GO:0046483,GO:0046872,GO:0046940,GO:0046983,GO:0050145,GO:0055086,GO:0071704,GO:0072527,GO:0072528,GO:0090407,GO:0097159,GO:0097367,GO:1901135,GO:1901137,GO:1901265,GO:1901293,GO:1901360,GO:1901362,GO:1901363,GO:1901564,GO:1901566,GO:1901576	2.1.1.45,2.7.4.9,4.1.1.19	ko:K00560,ko:K00943,ko:K01585	ko00240,ko00330,ko00670,ko01100,ko01523,map00240,map00330,map00670,map01100,map01523	M00053,M00133	R00566,R02094,R02098,R02101	RC00002,RC00219,RC00299,RC00332	ko00000,ko00001,ko00002,ko01000	-	-	iHN637.CLJU_RS00680,iNJ661.Rv3247c	Thymidylate_kin
HACLHHAG_01071	718252.FP2_26770	0.0	1071.0	COG0318@1|root,COG0318@2|Bacteria,1TPSX@1239|Firmicutes,248JC@186801|Clostridia,3WH64@541000|Ruminococcaceae	2|Bacteria	IQ	AMP-binding enzyme	-	-	2.6.1.85,4.1.3.38,6.2.1.3	ko:K01897,ko:K03342	ko00061,ko00071,ko00790,ko01100,ko01212,ko02024,ko03320,ko04146,ko04216,ko04714,ko04920,map00061,map00071,map00790,map01100,map01212,map02024,map03320,map04146,map04216,map04714,map04920	M00086	R01280,R01716,R05553	RC00004,RC00010,RC00014,RC01418,RC01843,RC02148	ko00000,ko00001,ko00002,ko01000,ko01004,ko01007,ko04147	4.C.1.1	-	-	AMP-binding,AMP-binding_C
HACLHHAG_01630	718252.FP2_08110	0.0	893.0	COG3225@1|root,COG3225@2|Bacteria,1TT1J@1239|Firmicutes,24BC2@186801|Clostridia,3WIU9@541000|Ruminococcaceae	2|Bacteria	N	transport system	gldG	-	-	ko:K01992	-	M00254	-	-	ko00000,ko00002,ko02000	3.A.1	-	-	ABC2_membrane_2,ABC_transp_aux
HACLHHAG_01695	718252.FP2_19970	8.03e-92	271.0	COG0663@1|root,COG0663@2|Bacteria,1V6CZ@1239|Firmicutes,24JAK@186801|Clostridia,3WK0Y@541000|Ruminococcaceae	2|Bacteria	S	Bacterial transferase hexapeptide repeat protein	yrdA	-	-	ko:K02617	-	-	-	-	ko00000	-	-	-	Hexapep
HACLHHAG_01711	411483.FAEPRAA2165_00260	4.69e-50	160.0	COG0759@1|root,COG0759@2|Bacteria,1VEIG@1239|Firmicutes,24QN4@186801|Clostridia,3WKGN@541000|Ruminococcaceae	2|Bacteria	S	Could be involved in insertion of integral membrane proteins into the membrane	yidD	-	-	ko:K03217,ko:K08998	ko02024,ko03060,ko03070,map02024,map03060,map03070	M00335	-	-	ko00000,ko00001,ko00002,ko02044,ko03029	2.A.9	-	-	Haemolytic
HACLHHAG_01726	718252.FP2_20280	9.09e-156	437.0	COG0546@1|root,COG0546@2|Bacteria,1V3YI@1239|Firmicutes,24HZR@186801|Clostridia,3WJQC@541000|Ruminococcaceae	2|Bacteria	S	phosphoglycolate phosphatase, bacterial	gph	-	3.1.3.18	ko:K01091	ko00630,ko01100,ko01110,ko01130,map00630,map01100,map01110,map01130	-	R01334	RC00017	ko00000,ko00001,ko01000	-	-	-	HAD_2
HACLHHAG_00901	718252.FP2_25200	3.39e-277	767.0	COG1589@1|root,COG1589@2|Bacteria,1VKJ9@1239|Firmicutes,24RT5@186801|Clostridia	2|Bacteria	D	Cell division protein FtsQ	ftsQ	-	-	ko:K03589	ko04112,map04112	-	-	-	ko00000,ko00001,ko03036	-	-	-	FtsQ,POTRA_1
