query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
IDJJGBAN_00959	657322.FPR_24550	1.82e-161	452.0	COG1073@1|root,COG1073@2|Bacteria,1U9AI@1239|Firmicutes,24B6Z@186801|Clostridia,3WJ56@541000|Ruminococcaceae	2|Bacteria	S	Alpha/beta hydrolase family	-	-	-	ko:K06889	-	-	-	-	ko00000	-	-	-	Hydrolase_4
IDJJGBAN_01338	657322.FPR_15570	1.33e-69	210.0	COG2198@1|root,COG2198@2|Bacteria,1TUB8@1239|Firmicutes,24W35@186801|Clostridia	2|Bacteria	T	Hpt domain	-	-	-	-	-	-	-	-	-	-	-	-	Hpt
IDJJGBAN_01949	657322.FPR_11970	1.28e-80	239.0	COG1266@1|root,COG1266@2|Bacteria,1VKW2@1239|Firmicutes,24QJG@186801|Clostridia,3WM89@541000|Ruminococcaceae	2|Bacteria	S	Psort location CytoplasmicMembrane, score	-	-	-	ko:K07052	-	-	-	-	ko00000	-	-	-	Abi
IDJJGBAN_02374	657322.FPR_10180	1.01e-112	325.0	298ZI@1|root,2ZW3A@2|Bacteria,1V7FU@1239|Firmicutes,24ID8@186801|Clostridia,3WJDF@541000|Ruminococcaceae	2|Bacteria	S	Psort location CytoplasmicMembrane, score	-	-	-	ko:K16788	-	-	-	-	ko00000,ko02000	2.A.88.5	-	-	ECF_trnsprt
IDJJGBAN_02694	411483.FAEPRAA2165_00757	2.43e-32	125.0	2EMH0@1|root,33F5M@2|Bacteria	2|Bacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Collagen
IDJJGBAN_00772	657322.FPR_20820	2.35e-151	429.0	COG0489@1|root,COG0489@2|Bacteria,1TS4R@1239|Firmicutes,24B0Z@186801|Clostridia,3WI2V@541000|Ruminococcaceae	2|Bacteria	D	Capsular exopolysaccharide family	ywqD	-	2.7.10.1	ko:K08252,ko:K16554	ko05111,map05111	-	-	-	ko00000,ko00001,ko01000,ko02000	8.A.3.1	-	-	AAA_31,CbiA,GNVR,ParA,Wzz
IDJJGBAN_01276	657322.FPR_14800	7.96e-317	870.0	COG1589@1|root,COG1589@2|Bacteria,1VKJ9@1239|Firmicutes,24RT5@186801|Clostridia,3WSDS@541000|Ruminococcaceae	2|Bacteria	D	Cell division protein FtsQ	ftsQ	-	-	ko:K03589	ko04112,map04112	-	-	-	ko00000,ko00001,ko03036	-	-	-	FtsQ,POTRA_1
IDJJGBAN_00223	748224.HMPREF9436_02966	1.2e-127	369.0	2BBZZ@1|root,325IJ@2|Bacteria,1URJQ@1239|Firmicutes,259G0@186801|Clostridia,3WQ3T@541000|Ruminococcaceae	2|Bacteria	S	Acetyltransferase (GNAT) domain	-	-	-	-	-	-	-	-	-	-	-	-	Acetyltransf_10
IDJJGBAN_00976	657322.FPR_24720	4.95e-249	686.0	COG3314@1|root,COG3314@2|Bacteria,1TR0V@1239|Firmicutes,247XA@186801|Clostridia,3WKX1@541000|Ruminococcaceae	2|Bacteria	S	Sporulation integral membrane protein YlbJ	ylbJ	-	-	-	-	-	-	-	-	-	-	-	Gate
IDJJGBAN_01750	657322.FPR_09310	1.84e-298	815.0	COG1686@1|root,COG1686@2|Bacteria,1TQ8M@1239|Firmicutes,2480S@186801|Clostridia,3WIT9@541000|Ruminococcaceae	2|Bacteria	M	Belongs to the peptidase S11 family	-	-	3.4.16.4	ko:K01286,ko:K07258	ko00550,ko01100,map00550,map01100	-	-	-	ko00000,ko00001,ko01000,ko01002,ko01011	-	-	-	PBP5_C,Peptidase_S11
IDJJGBAN_02527	657322.FPR_18360	2.45e-63	193.0	COG2827@1|root,COG2827@2|Bacteria,1VEZF@1239|Firmicutes,24QYU@186801|Clostridia,3WKVK@541000|Ruminococcaceae	2|Bacteria	L	GIY-YIG catalytic domain protein	yazA	-	-	ko:K07461	-	-	-	-	ko00000	-	-	-	GIY-YIG
IDJJGBAN_00518	748224.HMPREF9436_02872	6.19e-101	301.0	28S61@1|root,2ZEHJ@2|Bacteria,1W5F6@1239|Firmicutes,256VB@186801|Clostridia,3WQKF@541000|Ruminococcaceae	2|Bacteria	S	Psort location CytoplasmicMembrane, score	-	-	-	-	-	-	-	-	-	-	-	-	-
IDJJGBAN_00869	657322.FPR_21820	6.49e-169	475.0	COG1512@1|root,COG1512@2|Bacteria,1V2US@1239|Firmicutes,25CUP@186801|Clostridia,3WJ66@541000|Ruminococcaceae	2|Bacteria	S	Pfam:TPM	ydjH	-	-	ko:K06872	-	-	-	-	ko00000	-	-	-	TPM_phosphatase
IDJJGBAN_00887	657322.FPR_23870	0.0	977.0	COG0768@1|root,COG0768@2|Bacteria,1TQKI@1239|Firmicutes,25CAC@186801|Clostridia,3WI5D@541000|Ruminococcaceae	2|Bacteria	M	Penicillin-binding protein, transpeptidase domain protein	pbpI	-	3.4.16.4	ko:K05515,ko:K21468	ko00550,ko01501,map00550,map01501	-	-	-	ko00000,ko00001,ko01000,ko01011	-	-	-	PBP_dimer,Transpeptidase
IDJJGBAN_01818	748224.HMPREF9436_02018	5.5e-210	585.0	COG1194@1|root,COG1194@2|Bacteria,1TPUT@1239|Firmicutes,25E4K@186801|Clostridia,3WH2W@541000|Ruminococcaceae	2|Bacteria	L	Psort location Cytoplasmic, score	mutY	-	-	ko:K03575	ko03410,map03410	-	-	-	ko00000,ko00001,ko01000,ko03400	-	-	-	EndIII_4Fe-2S,HhH-GPD,NUDIX_4
IDJJGBAN_01846	657322.FPR_17840	0.0	874.0	COG1115@1|root,COG1115@2|Bacteria,1TNZP@1239|Firmicutes,247S6@186801|Clostridia,3WH5C@541000|Ruminococcaceae	2|Bacteria	E	amino acid carrier protein	agcS	-	-	ko:K03310	-	-	-	-	ko00000	2.A.25	-	-	Na_Ala_symp
IDJJGBAN_00194	657322.FPR_29750	5.4e-253	696.0	COG1104@1|root,COG1104@2|Bacteria,1TP21@1239|Firmicutes,24AZ4@186801|Clostridia,3WNAA@541000|Ruminococcaceae	2|Bacteria	H	aminotransferase class V	iscS2	-	2.8.1.7	ko:K04487	ko00730,ko01100,ko04122,map00730,map01100,map04122	-	R07460,R11528,R11529	RC01789,RC02313	ko00000,ko00001,ko01000,ko02048,ko03016,ko03029	-	-	-	Aminotran_5
IDJJGBAN_01114	657322.FPR_03570	3.82e-140	397.0	2AUKD@1|root,31K93@2|Bacteria,1V6PK@1239|Firmicutes,24J91@186801|Clostridia,3WJSP@541000|Ruminococcaceae	2|Bacteria	S	stage II sporulation protein R	spoIIR	-	-	ko:K06387	-	-	-	-	ko00000	-	-	-	Spore_II_R
IDJJGBAN_01224	657322.FPR_04970	4.1e-197	548.0	COG0063@1|root,COG0063@2|Bacteria,1TNZE@1239|Firmicutes,2480H@186801|Clostridia,3WG7J@541000|Ruminococcaceae	2|Bacteria	H	Bifunctional enzyme that catalyzes the epimerization of the S- and R-forms of NAD(P)HX and the dehydration of the S-form of NAD(P)HX at the expense of ADP, which is converted to AMP. This allows the repair of both epimers of NAD(P)HX, a damaged form of NAD(P)H that is a result of enzymatic or heat-dependent hydration	nnrD	-	4.2.1.136,5.1.99.6	ko:K17758,ko:K17759	-	-	-	-	ko00000,ko01000	-	-	-	Carb_kinase,YjeF_N
IDJJGBAN_01471	657322.FPR_06640	2.19e-193	538.0	2EP6H@1|root,33GT7@2|Bacteria,1VPJU@1239|Firmicutes,24X7H@186801|Clostridia	2|Bacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
IDJJGBAN_00251	657322.FPR_29170	1.04e-163	459.0	COG2099@1|root,COG2099@2|Bacteria,1UHWY@1239|Firmicutes,24GIQ@186801|Clostridia,3WJ9U@541000|Ruminococcaceae	2|Bacteria	H	reductase	cobK	-	1.3.1.106,1.3.1.54,1.3.1.76,2.1.1.131,2.1.1.132,3.7.1.12,4.99.1.4	ko:K00595,ko:K02304,ko:K05895,ko:K05934,ko:K13541	ko00860,ko01100,ko01110,ko01120,map00860,map01100,map01110,map01120	M00121	R02864,R03947,R05149,R05150,R05180,R05809,R05812,R07772	RC00003,RC01012,RC01034,RC01279,RC01280,RC01293,RC01545,RC02097,RC03471	ko00000,ko00001,ko00002,ko01000	-	-	-	CbiJ,TP_methylase
IDJJGBAN_00259	657322.FPR_29090	2.98e-219	605.0	COG1270@1|root,COG1270@2|Bacteria,1TQ3X@1239|Firmicutes,247PR@186801|Clostridia,3WGT1@541000|Ruminococcaceae	2|Bacteria	H	Converts cobyric acid to cobinamide by the addition of aminopropanol on the F carboxylic group	cobD	-	6.3.1.10	ko:K02227	ko00860,ko01100,map00860,map01100	M00122	R06529,R07302	RC00090,RC00096	ko00000,ko00001,ko00002,ko01000	-	-	-	CobD_Cbib
IDJJGBAN_00560	657322.FPR_25720	2.33e-212	588.0	COG0469@1|root,COG0469@2|Bacteria,1TQC0@1239|Firmicutes,24CHE@186801|Clostridia,3WMZU@541000|Ruminococcaceae	2|Bacteria	H	Pyruvate kinase, barrel domain	-	-	2.7.1.40	ko:K00873	ko00010,ko00230,ko00620,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,ko04922,ko04930,ko05165,ko05203,ko05230,map00010,map00230,map00620,map01100,map01110,map01120,map01130,map01200,map01230,map04922,map04930,map05165,map05203,map05230	M00001,M00002,M00049,M00050	R00200,R00430,R01138,R01858,R02320	RC00002,RC00015	ko00000,ko00001,ko00002,ko01000,ko04131,ko04147	-	-	-	PK
IDJJGBAN_01259	657322.FPR_14610	3.69e-129	367.0	COG1309@1|root,COG1309@2|Bacteria,1V7CM@1239|Firmicutes,24K3K@186801|Clostridia,3WMJU@541000|Ruminococcaceae	2|Bacteria	K	Bacterial regulatory proteins, tetR family	-	-	-	-	-	-	-	-	-	-	-	-	TetR_N
IDJJGBAN_01288	657322.FPR_14920	3.88e-240	660.0	COG0584@1|root,COG0584@2|Bacteria,1V3W4@1239|Firmicutes,24AVJ@186801|Clostridia,3WIKJ@541000|Ruminococcaceae	2|Bacteria	C	glycerophosphoryl diester phosphodiesterase	glpQ	-	3.1.4.46	ko:K01126	ko00564,map00564	-	R01030,R01470	RC00017,RC00425	ko00000,ko00001,ko01000	-	-	-	GDPD
IDJJGBAN_01475	657322.FPR_06600	1.71e-218	605.0	COG0226@1|root,COG0226@2|Bacteria,1VT8I@1239|Firmicutes,24IAW@186801|Clostridia,3WJDA@541000|Ruminococcaceae	2|Bacteria	P	PBP superfamily domain	sphX	-	-	ko:K02040	ko02010,ko02020,ko05152,map02010,map02020,map05152	M00222	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.7	-	-	PBP_like_2
IDJJGBAN_02001	657322.FPR_11450	8.95e-176	491.0	COG0327@1|root,COG0327@2|Bacteria,1TQ27@1239|Firmicutes,248Q2@186801|Clostridia,3WJ9H@541000|Ruminococcaceae	2|Bacteria	S	dinuclear metal center protein, YbgI	yqfO	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464	3.5.4.16	ko:K22391	ko00790,ko01100,map00790,map01100	M00126	R00428,R04639,R05046,R05048	RC00263,RC00294,RC00323,RC00945,RC01188	ko00000,ko00001,ko00002,ko01000	-	-	-	NIF3
IDJJGBAN_02331	657322.FPR_10590	1.63e-298	815.0	COG0128@1|root,COG0128@2|Bacteria,1TPIH@1239|Firmicutes,2488G@186801|Clostridia,3WG99@541000|Ruminococcaceae	2|Bacteria	E	Catalyzes the transfer of the enolpyruvyl moiety of phosphoenolpyruvate (PEP) to the 5-hydroxyl of shikimate-3- phosphate (S3P) to produce enolpyruvyl shikimate-3-phosphate and inorganic phosphate	aroA	GO:0003674,GO:0003824,GO:0003866,GO:0006082,GO:0008150,GO:0008152,GO:0009058,GO:0009423,GO:0009987,GO:0016053,GO:0016740,GO:0016765,GO:0019752,GO:0043436,GO:0043648,GO:0043650,GO:0044237,GO:0044249,GO:0044281,GO:0044283,GO:0046394,GO:0046417,GO:0071704,GO:1901576	2.5.1.19	ko:K00800	ko00400,ko01100,ko01110,ko01130,ko01230,map00400,map01100,map01110,map01130,map01230	M00022	R03460	RC00350	ko00000,ko00001,ko00002,ko01000	-	-	-	EPSP_synthase
IDJJGBAN_00093	748224.HMPREF9436_01585	7.09e-209	585.0	COG0520@1|root,COG0520@2|Bacteria,1TQ1W@1239|Firmicutes,249CS@186801|Clostridia,3WH06@541000|Ruminococcaceae	2|Bacteria	E	cysteine desulfurase family protein	sufS	-	2.8.1.7,4.4.1.16	ko:K11717	ko00450,ko01100,map00450,map01100	-	R03599,R11528	RC00961,RC01789,RC02313	ko00000,ko00001,ko01000	-	-	-	Aminotran_5
IDJJGBAN_00179	657322.FPR_29890	1.76e-173	483.0	COG3279@1|root,COG3279@2|Bacteria,1UYHU@1239|Firmicutes,24CBK@186801|Clostridia,3WRIR@541000|Ruminococcaceae	2|Bacteria	K	LytTr DNA-binding domain	-	-	-	-	-	-	-	-	-	-	-	-	LytTR,Response_reg
IDJJGBAN_00361	657322.FPR_28100	0.0	948.0	COG2812@1|root,COG2812@2|Bacteria,1TPS9@1239|Firmicutes,247J7@186801|Clostridia,3WGA1@541000|Ruminococcaceae	2|Bacteria	L	DNA polymerase III is a complex, multichain enzyme responsible for most of the replicative synthesis in bacteria. This DNA polymerase also exhibits 3' to 5' exonuclease activity	dnaX	GO:0006139,GO:0006259,GO:0006260,GO:0006261,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0034641,GO:0034645,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0046483,GO:0071704,GO:0090304,GO:1901360,GO:1901576	2.7.7.7	ko:K02343	ko00230,ko00240,ko01100,ko03030,ko03430,ko03440,map00230,map00240,map01100,map03030,map03430,map03440	M00260	R00375,R00376,R00377,R00378	RC02795	ko00000,ko00001,ko00002,ko01000,ko03032,ko03400	-	-	-	DNA_pol3_delta2,DNA_pol3_gamma3
IDJJGBAN_00370	657322.FPR_28000	7.45e-198	549.0	COG0190@1|root,COG0190@2|Bacteria,1TP1P@1239|Firmicutes,248DB@186801|Clostridia,3WGHP@541000|Ruminococcaceae	2|Bacteria	F	Catalyzes the oxidation of 5,10- methylenetetrahydrofolate to 5,10-methenyltetrahydrofolate and then the hydrolysis of 5,10-methenyltetrahydrofolate to 10- formyltetrahydrofolate	folD	GO:0003674,GO:0003824,GO:0004477,GO:0004488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006730,GO:0008150,GO:0008152,GO:0009987,GO:0016491,GO:0016645,GO:0016646,GO:0016787,GO:0016810,GO:0016814,GO:0019238,GO:0044237,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0055114	1.5.1.5,3.5.4.9	ko:K01491	ko00670,ko00720,ko01100,ko01120,ko01200,map00670,map00720,map01100,map01120,map01200	M00140,M00377	R01220,R01655	RC00202,RC00578	ko00000,ko00001,ko00002,ko01000	-	-	-	THF_DHG_CYH,THF_DHG_CYH_C
IDJJGBAN_00375	657322.FPR_27950	2.5e-260	715.0	COG0738@1|root,COG0738@2|Bacteria,1TPB5@1239|Firmicutes,24913@186801|Clostridia,3WHGF@541000|Ruminococcaceae	2|Bacteria	G	Major Facilitator	-	-	-	-	-	-	-	-	-	-	-	-	MFS_1
IDJJGBAN_01501	657322.FPR_06350	5.56e-130	369.0	COG0778@1|root,COG0778@2|Bacteria,1V3VK@1239|Firmicutes,25BI4@186801|Clostridia,3WM21@541000|Ruminococcaceae	2|Bacteria	C	Nitroreductase family	-	-	-	-	-	-	-	-	-	-	-	-	Nitroreductase
IDJJGBAN_01936	657322.FPR_12100	2.97e-54	169.0	COG2608@1|root,COG2608@2|Bacteria,1VETC@1239|Firmicutes,24QJU@186801|Clostridia,3WKXC@541000|Ruminococcaceae	2|Bacteria	P	mercury ion transmembrane transporter activity	-	-	-	-	-	-	-	-	-	-	-	-	HMA,HTH_18
IDJJGBAN_02213	657322.FPR_12740	2.63e-171	480.0	COG0111@1|root,COG0111@2|Bacteria,1TPUC@1239|Firmicutes,253BG@186801|Clostridia,3WJ87@541000|Ruminococcaceae	2|Bacteria	EH	dipicolinic acid synthetase, A subunit	spoVFA	-	-	ko:K06410	-	-	-	-	ko00000	-	-	-	2-Hacid_dh_C,AdoHcyase_NAD,AlaDh_PNT_C,DpaA_N
IDJJGBAN_01755	657322.FPR_09360	8.06e-17	73.2	COG1148@1|root,COG1148@2|Bacteria,1UI0M@1239|Firmicutes,25E99@186801|Clostridia,3WMHU@541000|Ruminococcaceae	2|Bacteria	C	4Fe-4S binding domain	qmoA	-	-	ko:K16885	-	-	-	-	ko00000	-	-	-	FAD_oxidored,Fer4,Fer4_7,Pyr_redox_2
IDJJGBAN_01116	657322.FPR_03590	4.12e-56	174.0	COG3830@1|root,COG3830@2|Bacteria,1VENW@1239|Firmicutes,24QNV@186801|Clostridia,3WJVR@541000|Ruminococcaceae	2|Bacteria	T	Belongs to the UPF0237 family	gcvR	-	1.1.1.3	ko:K00003,ko:K07166	ko00260,ko00270,ko00300,ko01100,ko01110,ko01120,ko01130,ko01230,map00260,map00270,map00300,map01100,map01110,map01120,map01130,map01230	M00017,M00018	R01773,R01775	RC00087	ko00000,ko00001,ko00002,ko01000	-	-	-	ACT_6
IDJJGBAN_01730	657322.FPR_09110	4.78e-22	85.5	COG0230@1|root,COG0230@2|Bacteria,1VK90@1239|Firmicutes,24UGN@186801|Clostridia,3WM8B@541000|Ruminococcaceae	2|Bacteria	J	Belongs to the bacterial ribosomal protein bL34 family	rpmH	GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015934,GO:0019538,GO:0022625,GO:0022626,GO:0032991,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1990904	-	ko:K02914	ko03010,map03010	M00178	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_L34
IDJJGBAN_01527	657322.FPR_06070	2.82e-83	246.0	COG2739@1|root,COG2739@2|Bacteria,1VEGP@1239|Firmicutes,24QNM@186801|Clostridia,3WKPX@541000|Ruminococcaceae	2|Bacteria	S	Might take part in the signal recognition particle (SRP) pathway. This is inferred from the conservation of its genetic proximity to ftsY ffh. May be a regulatory protein	ylxM	GO:0003674,GO:0008150,GO:0030234,GO:0030695,GO:0050790,GO:0060589,GO:0065007,GO:0065009,GO:0098772	-	ko:K09787	-	-	-	-	ko00000	-	-	-	UPF0122
IDJJGBAN_01521	411483.FAEPRAA2165_01222	4.88e-54	169.0	COG1925@1|root,COG1925@2|Bacteria,1VA0R@1239|Firmicutes,24QIP@186801|Clostridia,3WK5I@541000|Ruminococcaceae	2|Bacteria	G	phosphocarrier, HPr family	ptsH	-	-	ko:K11184,ko:K11189	-	-	-	-	ko00000,ko02000	4.A.2.1	-	-	PTS-HPr
IDJJGBAN_01943	411483.FAEPRAA2165_03465	7.23e-51	160.0	COG4472@1|root,COG4472@2|Bacteria,1VAC4@1239|Firmicutes,24QVQ@186801|Clostridia,3WJXE@541000|Ruminococcaceae	2|Bacteria	S	Belongs to the UPF0297 family	yrzL	-	-	-	-	-	-	-	-	-	-	-	DUF965
IDJJGBAN_00804	411483.FAEPRAA2165_02204	8.65e-53	166.0	COG0211@1|root,COG0211@2|Bacteria,1V6HW@1239|Firmicutes,24N3D@186801|Clostridia,3WJU0@541000|Ruminococcaceae	2|Bacteria	J	Belongs to the bacterial ribosomal protein bL27 family	rpmA	GO:0000027,GO:0001558,GO:0003674,GO:0003735,GO:0005198,GO:0005488,GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0005886,GO:0006412,GO:0006518,GO:0006807,GO:0006996,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015934,GO:0016020,GO:0016043,GO:0019538,GO:0022607,GO:0022613,GO:0022618,GO:0022625,GO:0022626,GO:0030312,GO:0032991,GO:0034622,GO:0034641,GO:0034645,GO:0040007,GO:0040008,GO:0042254,GO:0042255,GO:0042256,GO:0042273,GO:0043021,GO:0043022,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0043933,GO:0044085,GO:0044087,GO:0044089,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0044877,GO:0048518,GO:0050789,GO:0050794,GO:0051128,GO:0065003,GO:0065007,GO:0070925,GO:0071704,GO:0071826,GO:0071840,GO:0071944,GO:0090069,GO:0090070,GO:1901564,GO:1901566,GO:1901576,GO:1902626,GO:1990904	-	ko:K02899	ko03010,map03010	M00178	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_L27
IDJJGBAN_01145	411483.FAEPRAA2165_01681	5.46e-27	99.0	COG0828@1|root,COG0828@2|Bacteria,1VEHU@1239|Firmicutes,24QP9@186801|Clostridia,3WKHJ@541000|Ruminococcaceae	2|Bacteria	J	Belongs to the bacterial ribosomal protein bS21 family	rpsU	GO:0000028,GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0006996,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015935,GO:0016043,GO:0019538,GO:0022607,GO:0022613,GO:0022618,GO:0022626,GO:0022627,GO:0032991,GO:0034622,GO:0034641,GO:0034645,GO:0042254,GO:0042255,GO:0042274,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0065003,GO:0070925,GO:0071704,GO:0071826,GO:0071840,GO:1901564,GO:1901566,GO:1901576,GO:1990904	-	ko:K02970	ko03010,map03010	M00178	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_S21
