user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
GCA_026169355.fna	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium sp900540455	GCA_900540455.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium sp900540455	98.35	0.843	GCA_900540455.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium sp900540455	98.35	0.843	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_010509575.1, s__Faecalibacterium duncaniae, 95.0, 82.12, 0.157; GCF_023347295.1, s__Faecalibacterium sp003449675, 95.0, 81.87, 0.16; GCA_025757845.1, s__Faecalibacterium sp900539945, 95.0, 81.25, 0.153	94.22	11	N/A	N/A
GCA_037248125.fna	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium sp900540455	GCA_900540455.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium sp900540455	98.6	0.915	GCA_900540455.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium sp900540455	98.6	0.915	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_023347235.1, s__Faecalibacterium prausnitzii_A, 95.0, 83.02, 0.168; GCF_002549775.1, s__Faecalibacterium prausnitzii_F, 95.0, 82.95, 0.157; GCF_003324185.1, s__Faecalibacterium prausnitzii, 95.0, 82.94, 0.16; GCA_934513205.1, s__Faecalibacterium sp934513205, 95.0, 82.89, 0.151; GCF_023347295.1, s__Faecalibacterium sp003449675, 95.0, 82.79, 0.164; GCF_010509575.1, s__Faecalibacterium duncaniae, 95.0, 82.79, 0.152; GCA_025757845.1, s__Faecalibacterium sp900539945, 95.0, 82.59, 0.167; GCF_019967995.1, s__Faecalibacterium prausnitzii_E, 95.0, 82.45, 0.163	90.74	11	N/A	N/A
GCA_047234385.fna	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium sp900540455	GCA_900540455.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium sp900540455	98.68	0.921	GCA_900540455.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium sp900540455	98.68	0.921	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_023347295.1, s__Faecalibacterium sp003449675, 95.0, 82.48, 0.179; GCF_023347235.1, s__Faecalibacterium prausnitzii_A, 95.0, 82.21, 0.161; GCF_003324185.1, s__Faecalibacterium prausnitzii, 95.0, 82.02, 0.158; GCF_019967995.1, s__Faecalibacterium prausnitzii_E, 95.0, 81.6, 0.158; GCA_934513205.1, s__Faecalibacterium sp934513205, 95.0, 81.53, 0.152; GCA_934503275.1, s__Faecalibacterium sp934503275, 95.0, 81.46, 0.16; GCA_025757845.1, s__Faecalibacterium sp900539945, 95.0, 81.16, 0.154	95.79	11	N/A	N/A
GCA_048220945.fna	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium sp900540455	GCA_900540455.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium sp900540455	98.53	0.87	GCA_900540455.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium sp900540455	98.53	0.87	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_023347235.1, s__Faecalibacterium prausnitzii_A, 95.0, 81.89, 0.166; GCF_023347295.1, s__Faecalibacterium sp003449675, 95.0, 81.8, 0.176; GCF_003324185.1, s__Faecalibacterium prausnitzii, 95.0, 81.35, 0.164; GCF_019967995.1, s__Faecalibacterium prausnitzii_E, 95.0, 81.22, 0.155; GCA_025757845.1, s__Faecalibacterium sp900539945, 95.0, 81.07, 0.157	95.79	11	N/A	N/A
GCA_048383475.fna	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium sp900540455	GCA_900540455.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium sp900540455	98.77	0.905	GCA_900540455.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium sp900540455	98.77	0.905	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_010509575.1, s__Faecalibacterium duncaniae, 95.0, 81.84, 0.152; GCF_023347295.1, s__Faecalibacterium sp003449675, 95.0, 81.64, 0.165; GCF_023347235.1, s__Faecalibacterium prausnitzii_A, 95.0, 81.45, 0.155; GCA_934561555.1, s__Faecalibacterium sp934561555, 95.0, 81.38, 0.153; GCF_002549775.1, s__Faecalibacterium prausnitzii_F, 95.0, 81.32, 0.152; GCF_023347535.1, s__Faecalibacterium sp900539885, 95.0, 81.13, 0.152; GCA_025757845.1, s__Faecalibacterium sp900539945, 95.0, 80.77, 0.164	94.94	11	N/A	N/A
GCA_048396855.fna	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium sp900540455	GCA_900540455.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium sp900540455	98.71	0.914	GCA_900540455.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium sp900540455	98.71	0.914	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_003324185.1, s__Faecalibacterium prausnitzii, 95.0, 82.47, 0.161; GCF_023347235.1, s__Faecalibacterium prausnitzii_A, 95.0, 81.94, 0.152; GCF_019967995.1, s__Faecalibacterium prausnitzii_E, 95.0, 81.84, 0.159; GCA_025757845.1, s__Faecalibacterium sp900539945, 95.0, 81.75, 0.159; GCF_023347295.1, s__Faecalibacterium sp003449675, 95.0, 81.74, 0.178; GCF_023347535.1, s__Faecalibacterium sp900539885, 95.0, 81.45, 0.158; GCF_002549775.1, s__Faecalibacterium prausnitzii_F, 95.0, 81.34, 0.152	94.66	11	N/A	N/A
GCA_048526205.fna	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium sp900540455	GCA_900540455.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium sp900540455	98.39	0.869	GCA_900540455.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium sp900540455	98.39	0.869	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_003324185.1, s__Faecalibacterium prausnitzii, 95.0, 82.1, 0.162; GCF_023347235.1, s__Faecalibacterium prausnitzii_A, 95.0, 81.77, 0.152; GCA_025757845.1, s__Faecalibacterium sp900539945, 95.0, 81.53, 0.159; GCF_019967995.1, s__Faecalibacterium prausnitzii_E, 95.0, 81.44, 0.154; GCF_023347295.1, s__Faecalibacterium sp003449675, 95.0, 81.3, 0.171; GCF_002549775.1, s__Faecalibacterium prausnitzii_F, 95.0, 80.21, 0.15	94.8	11	N/A	N/A
GCA_900540455.fna	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium sp900540455	GCA_900540455.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium sp900540455	100.0	1.0	GCA_900540455.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium sp900540455	100.0	1.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_023347295.1, s__Faecalibacterium sp003449675, 95.0, 81.74, 0.162; GCF_019967995.1, s__Faecalibacterium prausnitzii_E, 95.0, 81.59, 0.153; GCA_025757845.1, s__Faecalibacterium sp900539945, 95.0, 81.36, 0.155; GCA_934503275.1, s__Faecalibacterium sp934503275, 95.0, 81.14, 0.15	90.25	11	N/A	N/A
GCA_900771545.fna	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium sp900540455	GCA_900540455.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium sp900540455	98.72	0.87	GCA_900540455.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium sp900540455	98.72	0.87	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_023347235.1, s__Faecalibacterium prausnitzii_A, 95.0, 82.55, 0.158; GCF_003324185.1, s__Faecalibacterium prausnitzii, 95.0, 81.94, 0.154; GCF_019967995.1, s__Faecalibacterium prausnitzii_E, 95.0, 81.8, 0.158; GCF_023347295.1, s__Faecalibacterium sp003449675, 95.0, 81.63, 0.164; GCA_025757845.1, s__Faecalibacterium sp900539945, 95.0, 81.4, 0.163; GCF_023347535.1, s__Faecalibacterium sp900539885, 95.0, 81.29, 0.159	94.16	11	N/A	N/A
GCA_902476985.fna	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium sp900540455	GCA_900540455.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium sp900540455	98.69	0.885	GCA_900540455.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium sp900540455	98.69	0.885	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_023347295.1, s__Faecalibacterium sp003449675, 95.0, 82.49, 0.17; GCF_023347235.1, s__Faecalibacterium prausnitzii_A, 95.0, 82.41, 0.158; GCF_010509575.1, s__Faecalibacterium duncaniae, 95.0, 82.08, 0.151; GCF_019967995.1, s__Faecalibacterium prausnitzii_E, 95.0, 81.89, 0.161; GCF_023347535.1, s__Faecalibacterium sp900539885, 95.0, 81.79, 0.156; GCF_003324185.1, s__Faecalibacterium prausnitzii, 95.0, 81.77, 0.154; GCA_025757845.1, s__Faecalibacterium sp900539945, 95.0, 81.49, 0.16; GCA_934503275.1, s__Faecalibacterium sp934503275, 95.0, 81.38, 0.15	95.79	11	N/A	N/A
GCA_902490705.fna	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger qucibialis	GCA_004000625.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger qucibialis	98.71	0.877	GCA_004000625.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger qucibialis	98.71	0.877	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	93.98	11	N/A	N/A
GCA_904419615.fna	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium gallistercoris	GCA_019116585.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium gallistercoris	98.32	0.863	GCA_019116585.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium gallistercoris	98.32	0.863	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_019119685.1, s__Faecalibacterium faecigallinarum, 95.0, 91.66, 0.759; GCA_019113345.1, s__Faecalibacterium intestinigallinarum, 95.0, 90.22, 0.663; GCA_944387975.1, s__Faecalibacterium sp944387975, 95.0, 89.2, 0.608; GCA_019118985.1, s__Faecalibacterium faecipullorum, 95.0, 88.56, 0.533; GCA_019112805.1, s__Faecalibacterium avium, 95.0, 87.32, 0.523; GCF_002160895.1, s__Faecalibacterium sp002160895, 95.0, 86.38, 0.48; GCA_944386015.1, s__Faecalibacterium sp944386015, 95.0, 86.37, 0.458; GCA_944385995.1, s__Faecalibacterium sp944385995, 95.0, 85.49, 0.408; GCA_904394215.1, s__Faecalibacterium sp904394215, 95.0, 85.3, 0.39; GCA_018883885.1, s__Faecalibacterium intestinavium, 95.0, 83.5, 0.223; GCF_022180365.1, s__Faecalibacterium gallinarum, 95.0, 83.04, 0.24	92.1	11	N/A	N/A
GCA_905205425.fna	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger qucibialis	GCA_004000625.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger qucibialis	98.55	0.875	GCA_004000625.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger qucibialis	98.55	0.875	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	94.9	11	N/A	N/A
GCA_905207885.fna	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium sp900540455	GCA_900540455.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium sp900540455	98.32	0.897	GCA_900540455.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium sp900540455	98.32	0.897	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_023347295.1, s__Faecalibacterium sp003449675, 95.0, 82.21, 0.176; GCF_003287455.1, s__Faecalibacterium hattorii, 95.0, 82.15, 0.153; GCF_019967995.1, s__Faecalibacterium prausnitzii_E, 95.0, 81.9, 0.157; GCF_023347235.1, s__Faecalibacterium prausnitzii_A, 95.0, 81.84, 0.151; GCA_025757845.1, s__Faecalibacterium sp900539945, 95.0, 81.57, 0.165; GCA_934503275.1, s__Faecalibacterium sp934503275, 95.0, 81.45, 0.159; GCF_003324185.1, s__Faecalibacterium prausnitzii, 95.0, 81.45, 0.156; GCF_003287495.1, s__Faecalibacterium prausnitzii_I, 95.0, 81.01, 0.151	93.8	11	N/A	N/A
GCA_930980505.fna	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium sp904394215	GCA_904394215.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium sp904394215	99.99	0.997	GCA_904394215.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium sp904394215	99.99	0.997	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_944386015.1, s__Faecalibacterium sp944386015, 95.0, 92.3, 0.802; GCA_944385995.1, s__Faecalibacterium sp944385995, 95.0, 88.32, 0.621; GCF_002160895.1, s__Faecalibacterium sp002160895, 95.0, 87.81, 0.472; GCA_019116585.1, s__Faecalibacterium gallistercoris, 95.0, 85.75, 0.411; GCA_019119685.1, s__Faecalibacterium faecigallinarum, 95.0, 85.51, 0.425; GCA_019112805.1, s__Faecalibacterium avium, 95.0, 85.15, 0.417; GCA_019113345.1, s__Faecalibacterium intestinigallinarum, 95.0, 85.03, 0.37; GCA_019118985.1, s__Faecalibacterium faecipullorum, 95.0, 84.83, 0.32; GCA_944387975.1, s__Faecalibacterium sp944387975, 95.0, 83.85, 0.29; GCA_018883885.1, s__Faecalibacterium intestinavium, 95.0, 83.58, 0.212; GCF_022180365.1, s__Faecalibacterium gallinarum, 95.0, 83.18, 0.221; GCA_944387955.1, s__Faecalibacterium sp944387955, 95.0, 81.83, 0.154	94.1	11	N/A	N/A
GCA_930987275.fna	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium gallistercoris	GCA_019116585.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium gallistercoris	98.33	0.868	GCA_019116585.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium gallistercoris	98.33	0.868	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_019119685.1, s__Faecalibacterium faecigallinarum, 95.0, 91.5, 0.757; GCA_019113345.1, s__Faecalibacterium intestinigallinarum, 95.0, 90.32, 0.669; GCA_944387975.1, s__Faecalibacterium sp944387975, 95.0, 89.25, 0.608; GCA_019118985.1, s__Faecalibacterium faecipullorum, 95.0, 88.58, 0.542; GCA_019112805.1, s__Faecalibacterium avium, 95.0, 87.22, 0.507; GCF_002160895.1, s__Faecalibacterium sp002160895, 95.0, 86.51, 0.431; GCA_944386015.1, s__Faecalibacterium sp944386015, 95.0, 86.16, 0.447; GCA_944385995.1, s__Faecalibacterium sp944385995, 95.0, 85.49, 0.394; GCA_904394215.1, s__Faecalibacterium sp904394215, 95.0, 85.07, 0.379; GCA_018883885.1, s__Faecalibacterium intestinavium, 95.0, 83.81, 0.228; GCF_022180365.1, s__Faecalibacterium gallinarum, 95.0, 82.39, 0.193	93.8	11	N/A	N/A
GCA_944386405.fna	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium gallinarum	GCF_022180365.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium gallinarum	98.15	0.917	GCF_022180365.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium gallinarum	98.15	0.917	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_018883885.1, s__Faecalibacterium intestinavium, 95.0, 87.09, 0.492; GCA_944387955.1, s__Faecalibacterium sp944387955, 95.0, 83.19, 0.248; GCA_944386015.1, s__Faecalibacterium sp944386015, 95.0, 82.9, 0.239; GCF_002160895.1, s__Faecalibacterium sp002160895, 95.0, 82.87, 0.244; GCA_019116585.1, s__Faecalibacterium gallistercoris, 95.0, 82.63, 0.238; GCA_019118985.1, s__Faecalibacterium faecipullorum, 95.0, 82.54, 0.195; GCA_019113345.1, s__Faecalibacterium intestinigallinarum, 95.0, 82.53, 0.205; GCA_019119685.1, s__Faecalibacterium faecigallinarum, 95.0, 82.37, 0.232; GCA_944385995.1, s__Faecalibacterium sp944385995, 95.0, 82.29, 0.189; GCA_904394215.1, s__Faecalibacterium sp904394215, 95.0, 81.88, 0.21; GCA_019112805.1, s__Faecalibacterium avium, 95.0, 81.49, 0.184	94.1	11	N/A	N/A
GCA_944386825.fna	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium faecigallinarum	GCA_019119685.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium faecigallinarum	97.7	0.85	GCA_019119685.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium faecigallinarum	97.7	0.85	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_019116585.1, s__Faecalibacterium gallistercoris, 95.0, 91.44, 0.728; GCA_019113345.1, s__Faecalibacterium intestinigallinarum, 95.0, 90.42, 0.692; GCA_944387975.1, s__Faecalibacterium sp944387975, 95.0, 89.27, 0.619; GCA_019118985.1, s__Faecalibacterium faecipullorum, 95.0, 88.28, 0.539; GCA_019112805.1, s__Faecalibacterium avium, 95.0, 87.01, 0.514; GCF_002160895.1, s__Faecalibacterium sp002160895, 95.0, 86.69, 0.492; GCA_944386015.1, s__Faecalibacterium sp944386015, 95.0, 86.39, 0.462; GCA_944385995.1, s__Faecalibacterium sp944385995, 95.0, 85.73, 0.411; GCA_904394215.1, s__Faecalibacterium sp904394215, 95.0, 85.64, 0.403; GCA_018883885.1, s__Faecalibacterium intestinavium, 95.0, 83.46, 0.223; GCF_022180365.1, s__Faecalibacterium gallinarum, 95.0, 83.28, 0.241; GCA_025757845.1, s__Faecalibacterium sp900539945, 95.0, 81.24, 0.154	94.62	11	N/A	N/A
GCA_944387985.fna	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium gallistercoris	GCA_019116585.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium gallistercoris	98.44	0.877	GCA_019116585.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium gallistercoris	98.44	0.877	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_019119685.1, s__Faecalibacterium faecigallinarum, 95.0, 91.66, 0.77; GCA_019113345.1, s__Faecalibacterium intestinigallinarum, 95.0, 90.42, 0.66; GCA_944387975.1, s__Faecalibacterium sp944387975, 95.0, 89.34, 0.607; GCA_019118985.1, s__Faecalibacterium faecipullorum, 95.0, 88.23, 0.547; GCA_019112805.1, s__Faecalibacterium avium, 95.0, 87.31, 0.505; GCF_002160895.1, s__Faecalibacterium sp002160895, 95.0, 86.24, 0.445; GCA_944386015.1, s__Faecalibacterium sp944386015, 95.0, 86.21, 0.455; GCA_904394215.1, s__Faecalibacterium sp904394215, 95.0, 85.48, 0.388; GCA_944385995.1, s__Faecalibacterium sp944385995, 95.0, 85.24, 0.399; GCA_018883885.1, s__Faecalibacterium intestinavium, 95.0, 83.86, 0.225; GCF_022180365.1, s__Faecalibacterium gallinarum, 95.0, 82.98, 0.225; GCA_944387955.1, s__Faecalibacterium sp944387955, 95.0, 82.11, 0.152	95.65	11	N/A	N/A
